date,plot_id,crop,env_stability_90,env_stability_category,plot_health_90,plot_health_category,risk_score_90,risk_category,final_score_90,plot_score_category,plot_score_90,treatment,treatment_block,row_orientation,plot_area_m2,plant_density_plants_m2,greenhouse_id,farm_id,structure_type,heating_system,irrigation_system,farm_name,region,climate_zone,production_system
2025-03-11,P0001,Strawberry,42.575200892966194,Fair,35.20495056490067,Poor,57.12,High,43.640107836954115,Fair,43.640107836954115,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-12,P0001,Strawberry,41.380701076282065,Fair,39.48220547457872,Fair,54.16,High,44.266723356865526,Fair,44.266723356865526,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-13,P0001,Strawberry,42.48799840622739,Fair,57.49462604660444,Good,47.68,Elevated,59.19231038843912,Good,59.19231038843912,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-14,P0001,Strawberry,45.67884599183664,Fair,38.06083273347946,Fair,52.48,Elevated,45.20897374921883,Fair,45.20897374921883,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-15,P0001,Strawberry,46.79243890785236,Fair,31.931866401639226,Poor,58.72,High,41.40033613962727,Fair,41.40033613962727,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-16,P0001,Strawberry,45.98248318717965,Fair,38.22988820266026,Fair,57.84,High,36.466734664926534,Fair,36.466734664926534,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-17,P0001,Strawberry,40.76865732108429,Fair,34.99475735594156,Poor,59.84,High,42.053255823667506,Fair,42.053255823667506,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-18,P0001,Strawberry,41.25688030690814,Fair,39.296092152849994,Fair,57.76,High,44.98635794870158,Fair,44.98635794870158,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-19,P0001,Strawberry,32.49963030995602,Poor,57.13959894395003,Good,54.24,High,55.221680534651846,Good,55.221680534651846,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-20,P0001,Strawberry,29.196423828717148,Poor,34.72984150825182,Poor,65.28,High,36.73994830572154,Fair,36.73994830572154,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-21,P0001,Strawberry,31.14126554359703,Poor,34.701906574350204,Poor,70,High,36.94295676267032,Fair,36.94295676267032,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-22,P0001,Strawberry,30.397611125490496,Poor,34.662865252888906,Poor,69.52000000000001,High,40.495618881238386,Fair,40.495618881238386,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-23,P0001,Strawberry,24.752219287631405,Poor,50.91460883638056,Fair,64.16,High,49.19028258116018,Fair,49.19028258116018,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-24,P0001,Strawberry,27.351608793579018,Poor,38.95127889676672,Fair,70.4,High,38.113072812315096,Fair,38.113072812315096,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-25,P0001,Strawberry,38.47259785224817,Fair,35.40970169821721,Poor,68.72,High,40.29179087518659,Fair,40.29179087518659,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-26,P0001,Strawberry,45.645166211721154,Fair,30.878273755299983,Poor,65.75999999999999,High,41.3667722815133,Fair,41.3667722815133,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-27,P0001,Strawberry,42.82425642421596,Fair,48.5271753367233,Fair,59.12,High,54.87129820386676,Good,54.87129820386676,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-28,P0001,Strawberry,52.94133119807532,Fair,36.5773692758871,Fair,57.12,High,48.69689854719418,Fair,48.69689854719418,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-29,P0001,Strawberry,56.44326175674962,Good,40.21516275955704,Fair,54,High,49.70328711738666,Fair,49.70328711738666,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-30,P0001,Strawberry,63.182256221602344,Good,46.92686685246728,Fair,49.28,Elevated,59.74916447566723,Good,59.74916447566723,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-31,P0001,Strawberry,69.06866460943414,Good,39.86012557591581,Fair,46,Elevated,54.116763337651044,Good,54.116763337651044,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-01,P0001,Strawberry,73.88023927129271,Excellent,37.98799771613207,Fair,45.04,Elevated,54.62334972039955,Good,54.62334972039955,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-02,P0001,Strawberry,68.08027711830344,Good,35.463357236515364,Poor,44.16,Elevated,52.521758138510066,Fair,52.521758138510066,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-03,P0001,Strawberry,72.93341996892711,Excellent,41.1665347931602,Fair,41.519999999999996,Elevated,57.12348943597802,Good,57.12348943597802,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-04,P0001,Strawberry,72.46421891842708,Excellent,26.005141400128696,Poor,49.92,Elevated,50.98932007041919,Fair,50.98932007041919,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-05,P0001,Strawberry,68.90026945680549,Good,22.908505635400793,Poor,57.6,High,45.92658089548454,Fair,45.92658089548454,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-06,P0001,Strawberry,63.02912393873347,Good,17.36367469321036,Critical,64.8,High,42.25373188005883,Fair,42.25373188005883,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-07,P0001,Strawberry,60.28147091847367,Good,24.895783317995054,Poor,66.24000000000001,High,43.888426489413696,Fair,43.888426489413696,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-08,P0001,Strawberry,60.91320596574339,Good,31.689165117620384,Poor,64.4,High,48.594632029728125,Fair,48.594632029728125,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-09,P0001,Strawberry,60.31959348029025,Good,28.254026464769275,Poor,66.4,High,46.64767909299844,Fair,46.64767909299844,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-10,P0001,Strawberry,56.864197151861795,Good,38.7979984930346,Fair,64.16,High,49.194082688684524,Fair,49.194082688684524,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-11,P0001,Strawberry,54.769291482937106,Good,43.4344334632813,Fair,60.32,High,50.73781677892825,Fair,50.73781677892825,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-12,P0001,Strawberry,50.82208496435674,Fair,45.93607432726242,Fair,61.52,High,54.163570469426716,Good,54.163570469426716,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-13,P0001,Strawberry,48.309576777888985,Fair,42.362905599899626,Fair,60.8,High,49.45974660517267,Fair,49.45974660517267,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-14,P0001,Strawberry,47.43318773841251,Fair,43.13259197145427,Fair,63.12,High,47.78942815255327,Fair,47.78942815255327,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-15,P0001,Strawberry,46.67456683936042,Fair,47.54655372295178,Fair,60.08,High,54.3633915381028,Good,54.3633915381028,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-16,P0001,Strawberry,45.50945853338506,Fair,54.45839350344498,Good,58.16,High,53.240638082325404,Fair,53.240638082325404,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-17,P0001,Strawberry,47.10092970351714,Fair,40.22014990921287,Fair,63.6,High,47.327956130382645,Fair,47.327956130382645,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-18,P0001,Strawberry,54.69240595022609,Good,31.20117995186866,Poor,62.96,High,43.81674841137564,Fair,43.81674841137564,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-19,P0001,Strawberry,47.97424027543145,Fair,47.663926073774654,Fair,57.76,High,54.73134356356955,Good,54.73134356356955,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-20,P0001,Strawberry,50.011442843570464,Fair,44.28299729052996,Fair,58.56,High,53.94771054626782,Fair,53.94771054626782,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-21,P0001,Strawberry,43.97169894341324,Fair,40.42729117990432,Fair,62.96,High,45.76198305114289,Fair,45.76198305114289,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-22,P0001,Strawberry,49.74020514450155,Fair,35.43859131398887,Poor,62.56,High,45.35155692048598,Fair,45.35155692048598,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-23,P0001,Strawberry,51.6143553333207,Fair,40.2495651497386,Fair,59.36,High,49.36017891424869,Fair,49.36017891424869,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-24,P0001,Strawberry,60.24162528415975,Good,37.55402003928059,Fair,56.56,High,50.02971505368862,Fair,50.02971505368862,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-25,P0001,Strawberry,59.600115331236445,Good,38.786609893494656,Fair,56.64,High,51.986221164251994,Fair,51.986221164251994,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-26,P0001,Strawberry,71.13886085604808,Good,40.020677789535725,Fair,48.48,Elevated,55.33567382344567,Good,55.33567382344567,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-27,P0001,Strawberry,73.28988863243347,Excellent,54.60421189684278,Good,43.52,Elevated,69.45976620282143,Good,69.45976620282143,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-28,P0001,Strawberry,78.10190706441266,Excellent,37.01987528216853,Fair,45.52,Elevated,56.975942352563216,Good,56.975942352563216,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-29,P0001,Strawberry,77.96027034297559,Excellent,38.277062901313435,Fair,45.6,Elevated,58.10376683855345,Good,58.10376683855345,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-04-30,P0001,Strawberry,78.6268287882227,Excellent,52.15950820381533,Fair,40.72,Elevated,70.27440897774723,Good,70.27440897774723,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-01,P0001,Strawberry,74.24854183878763,Excellent,43.23551929928149,Fair,44.88,Elevated,58.22883659021431,Good,58.22883659021431,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-02,P0001,Strawberry,80.73088066142235,Excellent,51.34169532440046,Fair,36.32,Elevated,68.78128982818151,Good,68.78128982818151,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-03,P0001,Strawberry,76.59172530443087,Excellent,51.388198307648814,Fair,39.120000000000005,Elevated,69.11864252598173,Good,69.11864252598173,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-04,P0001,Strawberry,74.46292861864904,Excellent,49.459785791670086,Fair,40.480000000000004,Elevated,64.95219108066797,Good,64.95219108066797,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-05,P0001,Strawberry,73.43269276320987,Excellent,37.03780698492247,Fair,44.72,Elevated,57.03498494270974,Good,57.03498494270974,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-06,P0001,Strawberry,70.79883819327183,Good,52.83246302467827,Fair,38.239999999999995,Elevated,67.63447120798897,Good,67.63447120798897,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-07,P0001,Strawberry,69.39759627858197,Good,41.1172149020032,Fair,47.36,Elevated,57.001816000424604,Good,57.001816000424604,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-08,P0001,Strawberry,67.86470354709434,Good,47.027213052403994,Fair,46.48,Elevated,58.922553311411235,Good,58.922553311411235,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-09,P0001,Strawberry,65.57609550401575,Good,40.73492133824655,Fair,50.56,Elevated,54.41139620827269,Good,54.41139620827269,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-10,P0001,Strawberry,54.14857309007644,Good,35.973770739183706,Poor,53.92,Elevated,46.405585772732856,Fair,46.405585772732856,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-11,P0001,Strawberry,56.921315260557186,Good,30.038906748263216,Poor,55.84,High,46.30253787943125,Fair,46.30253787943125,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-12,P0001,Strawberry,56.37838513665636,Good,17.144077783534634,Critical,59.84,High,38.067167986760474,Fair,38.067167986760474,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-13,P0001,Strawberry,51.168228147838455,Fair,38.62544070449743,Fair,59.76,High,48.36541722726299,Fair,48.36541722726299,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-14,P0001,Strawberry,51.55408004730345,Fair,40.97995200297346,Fair,60.88,High,49.702170599581216,Fair,49.702170599581216,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-15,P0001,Strawberry,53.669901460696636,Fair,61.74534175116387,Good,50.96,Elevated,65.54900640435878,Good,65.54900640435878,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-16,P0001,Strawberry,57.123718976226044,Good,58.0395831955517,Good,50.88,Elevated,65.02265646404751,Good,65.02265646404751,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-17,P0001,Strawberry,53.53132024630704,Fair,64.01868344755901,Good,49.28,Elevated,66.62416573705681,Good,66.62416573705681,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-18,P0001,Strawberry,50.130052509429994,Fair,59.99191098316047,Good,48.48,Elevated,63.33436889020407,Good,63.33436889020407,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-19,P0001,Strawberry,49.25977098392573,Fair,39.835091401427405,Fair,58.88,High,44.488180489552505,Fair,44.488180489552505,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-20,P0001,Strawberry,51.42253279332806,Fair,68.60203778462204,Good,48.08,Elevated,68.09685722366937,Good,68.09685722366937,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-21,P0001,Strawberry,52.20409367371311,Fair,58.34547978324284,Good,48.32,Elevated,63.30548566267908,Good,63.30548566267908,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-22,P0001,Strawberry,55.897909311570956,Good,65.02265235415175,Good,43.2,Elevated,68.02128307657827,Good,68.02128307657827,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-23,P0001,Strawberry,54.78342200160133,Good,57.191832095266776,Good,46.4,Elevated,63.713026960397215,Good,63.713026960397215,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-24,P0001,Strawberry,55.10591861387277,Good,62.36512759050145,Good,43.28,Elevated,66.40201365733466,Good,66.40201365733466,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-25,P0001,Strawberry,56.19670056873499,Good,45.663452750041834,Fair,50.72,Elevated,53.22465648929674,Fair,53.22465648929674,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-26,P0001,Strawberry,64.8765432755388,Good,67.37813133626672,Good,37.36,Elevated,72.60074757678629,Excellent,72.60074757678629,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-27,P0001,Strawberry,78.52440571854422,Excellent,44.66651795626112,Fair,36.08,Elevated,61.61292821050964,Good,61.61292821050964,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-28,P0001,Strawberry,71.78294219242791,Good,62.33302137193405,Good,33.6,Moderate,72.72155311639585,Excellent,72.72155311639585,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-29,P0001,Strawberry,75.50707534442121,Excellent,44.51859743562793,Fair,39.68,Elevated,58.55004602643377,Good,58.55004602643377,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-30,P0001,Strawberry,72.78209420659635,Excellent,48.86302689818581,Fair,39.120000000000005,Elevated,59.434850252735906,Good,59.434850252735906,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-05-31,P0001,Strawberry,61.881889752855876,Good,46.40144237988127,Fair,44.16,Elevated,56.51724299428994,Good,56.51724299428994,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
