date,plot_id,crop,risk_score,risk_level
2025-06-03,P0001,Strawberry,35.1,Medium
2025-06-04,P0001,Strawberry,39.4,Medium
2025-06-05,P0001,Strawberry,37.3,Medium
2025-06-06,P0001,Strawberry,37.2,Medium
2025-06-07,P0001,Strawberry,34.8,Medium
2025-06-08,P0001,Strawberry,29,Medium
2025-06-09,P0001,Strawberry,32,Medium
2025-06-10,P0001,Strawberry,30.8,Medium
2025-06-11,P0001,Strawberry,23.4,Low
2025-06-12,P0001,Strawberry,29.6,Medium
2025-06-13,P0001,Strawberry,31.5,Medium
2025-06-14,P0001,Strawberry,31.7,Medium
2025-06-15,P0001,Strawberry,45,Medium
2025-06-16,P0001,Strawberry,42.5,Medium
2025-06-17,P0001,Strawberry,52.6,High
2025-06-18,P0001,Strawberry,40.4,Medium
2025-06-19,P0001,Strawberry,39.1,Medium
2025-06-20,P0001,Strawberry,45.8,Medium
2025-06-21,P0001,Strawberry,35.2,Medium
2025-06-22,P0001,Strawberry,34.8,Medium
2025-06-23,P0001,Strawberry,34.9,Medium
2025-06-24,P0001,Strawberry,28.7,Medium
2025-06-25,P0001,Strawberry,32.5,Medium
2025-06-26,P0001,Strawberry,34.2,Medium
2025-06-27,P0001,Strawberry,31.2,Medium
2025-06-28,P0001,Strawberry,26.9,Medium
2025-06-29,P0001,Strawberry,27.9,Medium
2025-06-30,P0001,Strawberry,30.5,Medium
2025-07-01,P0001,Strawberry,31.9,Medium
2025-07-02,P0001,Strawberry,33.9,Medium
2025-07-03,P0001,Strawberry,49,Medium
2025-07-04,P0001,Strawberry,47.8,Medium
2025-07-05,P0001,Strawberry,39.7,Medium
2025-07-06,P0001,Strawberry,52.4,High
2025-07-07,P0001,Strawberry,55.2,High
2025-07-08,P0001,Strawberry,49.8,Medium
2025-07-09,P0001,Strawberry,47,Medium
2025-07-10,P0001,Strawberry,40.5,Medium
2025-07-11,P0001,Strawberry,40.9,Medium
2025-07-12,P0001,Strawberry,44.6,Medium
2025-07-13,P0001,Strawberry,43,Medium
2025-07-14,P0001,Strawberry,37.5,Medium
2025-07-15,P0001,Strawberry,34.5,Medium
2025-07-16,P0001,Strawberry,23.8,Low
2025-07-17,P0001,Strawberry,28.8,Medium
2025-07-18,P0001,Strawberry,32.3,Medium
2025-07-19,P0001,Strawberry,39.9,Medium
2025-07-20,P0001,Strawberry,42.9,Medium
2025-07-21,P0001,Strawberry,39.7,Medium
2025-07-22,P0001,Strawberry,40.4,Medium
2025-07-23,P0001,Strawberry,67.6,High
2025-07-24,P0001,Strawberry,59,High
2025-07-25,P0001,Strawberry,56.4,High
2025-07-26,P0001,Strawberry,46.8,Medium
2025-07-27,P0001,Strawberry,43.2,Medium
2025-07-28,P0001,Strawberry,43.9,Medium
2025-07-29,P0001,Strawberry,41.3,Medium
2025-07-30,P0001,Strawberry,25,Medium
2025-07-31,P0001,Strawberry,30.5,Medium
2025-08-01,P0001,Strawberry,28.4,Medium
2025-08-02,P0001,Strawberry,32.1,Medium
2025-08-03,P0001,Strawberry,29.4,Medium
2025-08-04,P0001,Strawberry,38,Medium
2025-08-05,P0001,Strawberry,36.6,Medium
2025-08-06,P0001,Strawberry,45.8,Medium
2025-08-07,P0001,Strawberry,39.5,Medium
2025-08-08,P0001,Strawberry,31.8,Medium
2025-08-09,P0001,Strawberry,41.5,Medium
2025-08-10,P0001,Strawberry,54.2,High
2025-08-11,P0001,Strawberry,52.2,High
2025-08-12,P0001,Strawberry,43.8,Medium
2025-08-13,P0001,Strawberry,52.2,High
2025-08-14,P0001,Strawberry,43.8,Medium
2025-08-15,P0001,Strawberry,42.9,Medium
2025-08-16,P0001,Strawberry,37.9,Medium
2025-08-17,P0001,Strawberry,34.5,Medium
2025-08-18,P0001,Strawberry,38.8,Medium
2025-08-19,P0001,Strawberry,33,Medium
2025-08-20,P0001,Strawberry,35.4,Medium
2025-08-21,P0001,Strawberry,30.4,Medium
2025-08-22,P0001,Strawberry,24.3,Low
2025-08-23,P0001,Strawberry,18.9,Low
2025-08-24,P0001,Strawberry,16.2,Low
2025-08-25,P0001,Strawberry,15.9,Low
2025-08-26,P0001,Strawberry,39.9,Medium
2025-08-27,P0001,Strawberry,37.9,Medium
2025-08-28,P0001,Strawberry,45.9,Medium
2025-08-29,P0001,Strawberry,50.2,High
2025-08-30,P0001,Strawberry,43.5,Medium
2025-08-31,P0001,Strawberry,49.6,Medium
2025-09-01,P0001,Strawberry,48.4,Medium
2025-09-02,P0001,Strawberry,43.8,Medium
2025-09-03,P0001,Strawberry,45.1,Medium
2025-09-04,P0001,Strawberry,45.2,Medium
2025-09-05,P0001,Strawberry,51.9,High
2025-09-06,P0001,Strawberry,52.8,High
2025-09-07,P0001,Strawberry,52.7,High
2025-09-08,P0001,Strawberry,51.3,High
2025-09-09,P0001,Strawberry,43,Medium
2025-09-10,P0001,Strawberry,54.1,High
2025-09-11,P0001,Strawberry,51.6,High
2025-09-12,P0001,Strawberry,46.2,Medium
2025-02-21,P0002,Strawberry,37.6,Medium
2025-02-22,P0002,Strawberry,42.7,Medium
2025-02-23,P0002,Strawberry,45.6,Medium
2025-02-24,P0002,Strawberry,48.7,Medium
2025-02-25,P0002,Strawberry,42,Medium
2025-02-26,P0002,Strawberry,40,Medium
2025-02-27,P0002,Strawberry,48.3,Medium
2025-02-28,P0002,Strawberry,54.7,High
2025-03-01,P0002,Strawberry,58.3,High
2025-03-02,P0002,Strawberry,70.8,High
2025-03-03,P0002,Strawberry,68.7,High
2025-03-04,P0002,Strawberry,60.3,High
2025-03-05,P0002,Strawberry,64.4,High
2025-03-06,P0002,Strawberry,56.7,High
2025-03-07,P0002,Strawberry,45.7,Medium
2025-03-08,P0002,Strawberry,48.3,Medium
2025-03-09,P0002,Strawberry,51.4,High
2025-03-10,P0002,Strawberry,49.8,Medium
2025-03-11,P0002,Strawberry,43.8,Medium
2025-03-12,P0002,Strawberry,51.5,High
2025-03-13,P0002,Strawberry,46.9,Medium
2025-03-14,P0002,Strawberry,59.5,High
2025-03-15,P0002,Strawberry,54.7,High
2025-03-16,P0002,Strawberry,66.8,High
2025-03-17,P0002,Strawberry,66.1,High
2025-03-18,P0002,Strawberry,70.1,High
2025-03-19,P0002,Strawberry,72.8,High
2025-03-20,P0002,Strawberry,82.8,Critical
2025-03-21,P0002,Strawberry,77.4,Critical
2025-03-22,P0002,Strawberry,77.5,Critical
2025-03-23,P0002,Strawberry,74.8,High
2025-03-24,P0002,Strawberry,78.7,Critical
2025-03-25,P0002,Strawberry,75.2,Critical
2025-03-26,P0002,Strawberry,76.6,Critical
2025-03-27,P0002,Strawberry,66.3,High
2025-03-28,P0002,Strawberry,78.7,Critical
2025-03-29,P0002,Strawberry,80.4,Critical
2025-03-30,P0002,Strawberry,71.5,High
2025-03-31,P0002,Strawberry,68,High
2025-04-01,P0002,Strawberry,60.3,High
2025-04-02,P0002,Strawberry,67.6,High
2025-04-03,P0002,Strawberry,71.6,High
2025-04-04,P0002,Strawberry,72.2,High
2025-04-05,P0002,Strawberry,77.2,Critical
2025-04-06,P0002,Strawberry,77.6,Critical
2025-04-07,P0002,Strawberry,75.6,Critical
2025-04-08,P0002,Strawberry,67.4,High
2025-04-09,P0002,Strawberry,70.1,High
2025-04-10,P0002,Strawberry,70.6,High
2025-04-11,P0002,Strawberry,73.6,High
2025-04-12,P0002,Strawberry,73.5,High
2025-04-13,P0002,Strawberry,76.3,Critical
2025-04-14,P0002,Strawberry,71.8,High
2025-04-15,P0002,Strawberry,68.9,High
2025-04-16,P0002,Strawberry,71.6,High
2025-04-17,P0002,Strawberry,64.8,High
2025-04-18,P0002,Strawberry,68.4,High
2025-04-19,P0002,Strawberry,67.4,High
2025-04-20,P0002,Strawberry,68.8,High
2025-04-21,P0002,Strawberry,64.3,High
2025-04-22,P0002,Strawberry,69.2,High
2025-04-23,P0002,Strawberry,66.1,High
2025-04-24,P0002,Strawberry,74.8,High
2025-04-25,P0002,Strawberry,68.4,High
2025-04-26,P0002,Strawberry,69.6,High
2025-04-27,P0002,Strawberry,60.8,High
2025-04-28,P0002,Strawberry,63.6,High
2025-04-29,P0002,Strawberry,59.8,High
2025-04-30,P0002,Strawberry,67.2,High
2025-05-01,P0002,Strawberry,62.1,High
2025-05-02,P0002,Strawberry,50.3,High
2025-05-03,P0002,Strawberry,53.6,High
2025-05-04,P0002,Strawberry,65.5,High
2025-05-05,P0002,Strawberry,54.5,High
2025-05-06,P0002,Strawberry,60.1,High
2025-05-07,P0002,Strawberry,65.1,High
2025-05-08,P0002,Strawberry,67.2,High
2025-05-09,P0002,Strawberry,60.7,High
2025-05-10,P0002,Strawberry,65.1,High
2025-05-11,P0002,Strawberry,77.7,Critical
2025-05-12,P0002,Strawberry,84.6,Critical
2025-05-13,P0002,Strawberry,84.6,Critical
2025-05-14,P0002,Strawberry,72.1,High
2025-05-15,P0002,Strawberry,72.3,High
2025-05-16,P0002,Strawberry,69.9,High
2025-05-17,P0002,Strawberry,68.7,High
2025-05-18,P0002,Strawberry,74.2,High
2025-05-19,P0002,Strawberry,56.6,High
2025-05-20,P0002,Strawberry,55.4,High
2025-05-21,P0002,Strawberry,57.2,High
2025-05-22,P0002,Strawberry,53.3,High
2025-05-23,P0002,Strawberry,65.4,High
2025-05-24,P0002,Strawberry,60.9,High
2025-05-25,P0002,Strawberry,64.1,High
2025-05-26,P0002,Strawberry,57.1,High
2025-05-27,P0002,Strawberry,56.5,High
2025-05-28,P0002,Strawberry,57.4,High
2025-05-29,P0002,Strawberry,58.1,High
2025-05-30,P0002,Strawberry,45,Medium
2025-05-31,P0002,Strawberry,36.8,Medium
2025-06-01,P0002,Strawberry,38.9,Medium
2025-06-02,P0002,Strawberry,33.8,Medium
2025-06-03,P0002,Strawberry,30.9,Medium
2025-06-04,P0002,Strawberry,38.1,Medium
2025-06-05,P0002,Strawberry,42,Medium
2025-06-06,P0002,Strawberry,38.1,Medium
2025-06-07,P0002,Strawberry,41.5,Medium
2025-06-08,P0002,Strawberry,41.4,Medium
2025-06-09,P0002,Strawberry,45.9,Medium
2025-06-10,P0002,Strawberry,37.4,Medium
2025-06-11,P0002,Strawberry,32,Medium
2025-06-12,P0002,Strawberry,40.9,Medium
2025-06-13,P0002,Strawberry,44.9,Medium
2025-06-14,P0002,Strawberry,41.5,Medium
2025-06-15,P0002,Strawberry,61.2,High
2025-06-16,P0002,Strawberry,51.8,High
2025-06-17,P0002,Strawberry,66.2,High
2025-06-18,P0002,Strawberry,60.2,High
2025-06-19,P0002,Strawberry,68.4,High
2025-06-20,P0002,Strawberry,62.6,High
2025-06-21,P0002,Strawberry,50,High
2025-06-22,P0002,Strawberry,54.7,High
2025-06-23,P0002,Strawberry,49.3,Medium
2025-06-24,P0002,Strawberry,51,High
2025-06-25,P0002,Strawberry,44.5,Medium
2025-06-26,P0002,Strawberry,42,Medium
2025-06-27,P0002,Strawberry,42.9,Medium
2025-06-28,P0002,Strawberry,38.9,Medium
2025-06-29,P0002,Strawberry,37.2,Medium
2025-06-30,P0002,Strawberry,42.7,Medium
2025-07-01,P0002,Strawberry,43.6,Medium
2025-07-02,P0002,Strawberry,48.9,Medium
2025-07-03,P0002,Strawberry,47.8,Medium
2025-07-04,P0002,Strawberry,50.2,High
2025-07-05,P0002,Strawberry,62.1,High
2025-07-06,P0002,Strawberry,56.2,High
2025-07-07,P0002,Strawberry,62,High
2025-07-08,P0002,Strawberry,42.8,Medium
2025-07-09,P0002,Strawberry,51.1,High
2025-07-10,P0002,Strawberry,47.3,Medium
2025-07-11,P0002,Strawberry,48,Medium
2025-07-12,P0002,Strawberry,40.1,Medium
2025-07-13,P0002,Strawberry,45.7,Medium
2025-07-14,P0002,Strawberry,42.5,Medium
2025-07-15,P0002,Strawberry,44.2,Medium
2025-07-16,P0002,Strawberry,40.2,Medium
2025-07-17,P0002,Strawberry,42.2,Medium
2025-07-18,P0002,Strawberry,40.5,Medium
2025-07-19,P0002,Strawberry,39.3,Medium
2025-07-20,P0002,Strawberry,43,Medium
2025-07-21,P0002,Strawberry,35.5,Medium
2025-07-22,P0002,Strawberry,38.1,Medium
2025-07-23,P0002,Strawberry,41.5,Medium
2025-07-24,P0002,Strawberry,52.1,High
2025-07-25,P0002,Strawberry,71.3,High
2025-07-26,P0002,Strawberry,60.2,High
2025-07-27,P0002,Strawberry,63.6,High
2025-07-28,P0002,Strawberry,59.8,High
2025-07-29,P0002,Strawberry,66.3,High
2025-07-30,P0002,Strawberry,66.3,High
2025-07-31,P0002,Strawberry,60,High
2025-08-01,P0002,Strawberry,45.1,Medium
2025-08-02,P0002,Strawberry,38.3,Medium
2025-08-03,P0002,Strawberry,44.2,Medium
2025-08-04,P0002,Strawberry,46.9,Medium
2025-08-05,P0002,Strawberry,39.5,Medium
2025-08-06,P0002,Strawberry,44.8,Medium
2025-08-07,P0002,Strawberry,47.6,Medium
2025-08-08,P0002,Strawberry,49.6,Medium
2025-08-09,P0002,Strawberry,34.6,Medium
2025-08-10,P0002,Strawberry,37.5,Medium
2025-08-11,P0002,Strawberry,31.5,Medium
2025-08-12,P0002,Strawberry,35.9,Medium
2025-08-13,P0002,Strawberry,53.5,High
2025-08-14,P0002,Strawberry,51.8,High
2025-08-15,P0002,Strawberry,54.1,High
2025-08-16,P0002,Strawberry,52.5,High
2025-08-17,P0002,Strawberry,51,High
2025-08-18,P0002,Strawberry,51.8,High
2025-08-19,P0002,Strawberry,54.1,High
2025-08-20,P0002,Strawberry,52.4,High
2025-08-21,P0002,Strawberry,42.9,Medium
2025-08-22,P0002,Strawberry,27.3,Medium
2025-08-23,P0002,Strawberry,44.4,Medium
2025-08-24,P0002,Strawberry,49.7,Medium
2025-08-25,P0002,Strawberry,49,Medium
2025-08-26,P0002,Strawberry,63.2,High
2025-08-27,P0002,Strawberry,63,High
2025-08-28,P0002,Strawberry,65.7,High
2025-08-29,P0002,Strawberry,63.4,High
2025-08-30,P0002,Strawberry,57.4,High
2025-08-31,P0002,Strawberry,52.6,High
2025-09-01,P0002,Strawberry,42.8,Medium
2025-09-02,P0002,Strawberry,47.3,Medium
2025-09-03,P0002,Strawberry,38.7,Medium
2025-09-04,P0002,Strawberry,39.2,Medium
2025-09-05,P0002,Strawberry,35.4,Medium
2025-09-06,P0002,Strawberry,30.5,Medium
2025-09-07,P0002,Strawberry,33.7,Medium
2025-09-08,P0002,Strawberry,29.9,Medium
2025-09-09,P0002,Strawberry,34.4,Medium
2025-09-10,P0002,Strawberry,38.8,Medium
2025-09-11,P0002,Strawberry,40.8,Medium
2025-09-12,P0002,Strawberry,36.7,Medium
2025-02-21,P0003,Strawberry,50.2,High
2025-02-22,P0003,Strawberry,47.4,Medium
2025-02-23,P0003,Strawberry,51.1,High
2025-02-24,P0003,Strawberry,51.8,High
2025-02-25,P0003,Strawberry,53,High
2025-02-26,P0003,Strawberry,47.5,Medium
2025-02-27,P0003,Strawberry,51.8,High
2025-02-28,P0003,Strawberry,55.9,High
2025-03-01,P0003,Strawberry,60.3,High
2025-03-02,P0003,Strawberry,60.6,High
2025-03-03,P0003,Strawberry,47.7,Medium
2025-03-04,P0003,Strawberry,47.8,Medium
2025-03-05,P0003,Strawberry,47,Medium
2025-03-06,P0003,Strawberry,52.5,High
2025-03-07,P0003,Strawberry,51.1,High
2025-03-08,P0003,Strawberry,46.3,Medium
2025-03-09,P0003,Strawberry,61.7,High
2025-03-10,P0003,Strawberry,60.6,High
2025-03-11,P0003,Strawberry,55.7,High
2025-03-12,P0003,Strawberry,57.9,High
2025-03-13,P0003,Strawberry,54.3,High
2025-03-14,P0003,Strawberry,53.9,High
2025-03-15,P0003,Strawberry,61.8,High
2025-03-16,P0003,Strawberry,51.2,High
2025-03-17,P0003,Strawberry,44.2,Medium
2025-03-18,P0003,Strawberry,41.1,Medium
2025-03-19,P0003,Strawberry,54.7,High
2025-03-20,P0003,Strawberry,65.2,High
2025-03-21,P0003,Strawberry,62.1,High
2025-03-22,P0003,Strawberry,68.8,High
2025-03-23,P0003,Strawberry,63,High
2025-03-24,P0003,Strawberry,56.6,High
2025-03-25,P0003,Strawberry,49.5,Medium
2025-03-26,P0003,Strawberry,64.6,High
2025-03-27,P0003,Strawberry,55.6,High
2025-03-28,P0003,Strawberry,61.9,High
2025-03-29,P0003,Strawberry,61.6,High
2025-03-30,P0003,Strawberry,66.2,High
2025-03-31,P0003,Strawberry,60.1,High
2025-04-01,P0003,Strawberry,67.3,High
2025-04-02,P0003,Strawberry,61.2,High
2025-04-03,P0003,Strawberry,54.4,High
2025-04-04,P0003,Strawberry,61.1,High
2025-04-05,P0003,Strawberry,73,High
2025-04-06,P0003,Strawberry,81.3,Critical
2025-04-07,P0003,Strawberry,81.7,Critical
2025-04-08,P0003,Strawberry,77.2,Critical
2025-04-09,P0003,Strawberry,78.1,Critical
2025-04-10,P0003,Strawberry,82.7,Critical
2025-04-11,P0003,Strawberry,87.5,Critical
2025-04-12,P0003,Strawberry,83.8,Critical
2025-04-13,P0003,Strawberry,81.6,Critical
2025-04-14,P0003,Strawberry,77.3,Critical
2025-04-15,P0003,Strawberry,77,Critical
2025-04-16,P0003,Strawberry,75.2,Critical
2025-04-17,P0003,Strawberry,74.1,High
2025-04-18,P0003,Strawberry,70.6,High
2025-04-19,P0003,Strawberry,76.9,Critical
2025-04-20,P0003,Strawberry,77.3,Critical
2025-04-21,P0003,Strawberry,79.7,Critical
2025-04-22,P0003,Strawberry,72,High
2025-04-23,P0003,Strawberry,69.5,High
2025-04-24,P0003,Strawberry,64.7,High
2025-04-25,P0003,Strawberry,62.4,High
2025-04-26,P0003,Strawberry,48.8,Medium
2025-04-27,P0003,Strawberry,57.6,High
2025-04-28,P0003,Strawberry,54,High
2025-04-29,P0003,Strawberry,55.4,High
2025-04-30,P0003,Strawberry,58.6,High
2025-05-01,P0003,Strawberry,52.1,High
2025-05-02,P0003,Strawberry,55.3,High
2025-05-03,P0003,Strawberry,48.7,Medium
2025-05-04,P0003,Strawberry,50.6,High
2025-05-05,P0003,Strawberry,58.4,High
2025-05-06,P0003,Strawberry,51,High
2025-05-07,P0003,Strawberry,63,High
2025-05-08,P0003,Strawberry,56.6,High
2025-05-09,P0003,Strawberry,58.9,High
2025-05-10,P0003,Strawberry,58.8,High
2025-05-11,P0003,Strawberry,54.4,High
2025-05-12,P0003,Strawberry,61.2,High
2025-05-13,P0003,Strawberry,66.2,High
2025-05-14,P0003,Strawberry,65.8,High
2025-05-15,P0003,Strawberry,44.3,Medium
2025-05-16,P0003,Strawberry,43.5,Medium
2025-05-17,P0003,Strawberry,40.8,Medium
2025-05-18,P0003,Strawberry,49.4,Medium
2025-05-19,P0003,Strawberry,52.2,High
2025-05-20,P0003,Strawberry,43.3,Medium
2025-05-21,P0003,Strawberry,48.3,Medium
2025-05-22,P0003,Strawberry,47.6,Medium
2025-05-23,P0003,Strawberry,40.8,Medium
2025-05-24,P0003,Strawberry,39.7,Medium
2025-05-25,P0003,Strawberry,43.2,Medium
2025-05-26,P0003,Strawberry,37.7,Medium
2025-05-27,P0003,Strawberry,48.4,Medium
2025-05-28,P0003,Strawberry,50.4,High
2025-05-29,P0003,Strawberry,58.7,High
2025-05-30,P0003,Strawberry,50.2,High
2025-05-31,P0003,Strawberry,48.5,Medium
2025-06-01,P0003,Strawberry,53.2,High
2025-06-02,P0003,Strawberry,43,Medium
2025-06-03,P0003,Strawberry,41.2,Medium
2025-06-04,P0003,Strawberry,38.1,Medium
2025-06-05,P0003,Strawberry,35.3,Medium
2025-06-06,P0003,Strawberry,32.1,Medium
2025-06-07,P0003,Strawberry,35.5,Medium
2025-06-08,P0003,Strawberry,36.7,Medium
2025-06-09,P0003,Strawberry,33.2,Medium
2025-06-10,P0003,Strawberry,30.6,Medium
2025-06-11,P0003,Strawberry,32.4,Medium
2025-06-12,P0003,Strawberry,38,Medium
2025-06-13,P0003,Strawberry,33.2,Medium
2025-06-14,P0003,Strawberry,39.7,Medium
2025-06-15,P0003,Strawberry,47.7,Medium
2025-06-16,P0003,Strawberry,55.8,High
2025-06-17,P0003,Strawberry,75.4,Critical
2025-06-18,P0003,Strawberry,68.1,High
2025-06-19,P0003,Strawberry,82.6,Critical
2025-06-20,P0003,Strawberry,80.9,Critical
2025-06-21,P0003,Strawberry,70.2,High
2025-06-22,P0003,Strawberry,70.9,High
2025-06-23,P0003,Strawberry,78,Critical
2025-06-24,P0003,Strawberry,68.2,High
2025-06-25,P0003,Strawberry,57.9,High
2025-06-26,P0003,Strawberry,51.1,High
2025-06-27,P0003,Strawberry,47.9,Medium
2025-06-28,P0003,Strawberry,41,Medium
2025-06-29,P0003,Strawberry,40.2,Medium
2025-06-30,P0003,Strawberry,34.6,Medium
2025-07-01,P0003,Strawberry,34.9,Medium
2025-07-02,P0003,Strawberry,43.5,Medium
2025-07-03,P0003,Strawberry,39.9,Medium
2025-07-04,P0003,Strawberry,50.4,High
2025-07-05,P0003,Strawberry,53.4,High
2025-07-06,P0003,Strawberry,54.3,High
2025-07-07,P0003,Strawberry,54.4,High
2025-07-08,P0003,Strawberry,52.5,High
2025-07-09,P0003,Strawberry,43,Medium
2025-07-10,P0003,Strawberry,46.3,Medium
2025-07-11,P0003,Strawberry,49.2,Medium
2025-07-12,P0003,Strawberry,50.6,High
2025-07-13,P0003,Strawberry,54.2,High
2025-07-14,P0003,Strawberry,46.5,Medium
2025-07-15,P0003,Strawberry,48.5,Medium
2025-07-16,P0003,Strawberry,57.6,High
2025-07-17,P0003,Strawberry,56.6,High
2025-07-18,P0003,Strawberry,55.7,High
2025-07-19,P0003,Strawberry,58,High
2025-07-20,P0003,Strawberry,60,High
2025-07-21,P0003,Strawberry,56.3,High
2025-07-22,P0003,Strawberry,62.4,High
2025-07-23,P0003,Strawberry,50.5,High
2025-07-24,P0003,Strawberry,50.5,High
2025-07-25,P0003,Strawberry,51.5,High
2025-07-26,P0003,Strawberry,43.1,Medium
2025-07-27,P0003,Strawberry,51.9,High
2025-07-28,P0003,Strawberry,51.3,High
2025-07-29,P0003,Strawberry,48.3,Medium
2025-07-30,P0003,Strawberry,45.7,Medium
2025-07-31,P0003,Strawberry,46.3,Medium
2025-08-01,P0003,Strawberry,44.1,Medium
2025-08-02,P0003,Strawberry,35.6,Medium
2025-08-03,P0003,Strawberry,34.6,Medium
2025-08-04,P0003,Strawberry,24.7,Low
2025-08-05,P0003,Strawberry,30.4,Medium
2025-08-06,P0003,Strawberry,40,Medium
2025-08-07,P0003,Strawberry,33.3,Medium
2025-08-08,P0003,Strawberry,29,Medium
2025-08-09,P0003,Strawberry,38,Medium
2025-08-10,P0003,Strawberry,37.8,Medium
2025-08-11,P0003,Strawberry,38.1,Medium
2025-08-12,P0003,Strawberry,45.6,Medium
2025-08-13,P0003,Strawberry,36.8,Medium
2025-08-14,P0003,Strawberry,31.4,Medium
2025-08-15,P0003,Strawberry,27.7,Medium
