date,plot_id,greenhouse_id,farm_id,blossom_count,pest_severity,disease_severity,leaf_color,notes_flag,blossom_norm,notes_penalty,leaf_penalty,risk_score,risk_level
2026-04-12,P0002,GH013,F08,29.72855022,0.499988512,0.076097179,Fair,Minor,0.41712387167309595,0.1,0.1,0.49266448408461916,Moderate
2026-04-26,P0002,GH013,F08,31.16238918,0.187007703,0.230989034,Excellent,Minor,0.4447324106668658,0.1,0,0.3583442434833731,Moderate
2026-05-10,P0002,GH013,F08,32.07915276,0.223567709,0.071669477,Poor,Severe,0.4623846741027107,0,0.25,0.45297689762054216,Moderate
2026-05-24,P0002,GH013,F08,31.65026464,0.282286828,0.359177228,Fair,None,0.45412644237982286,0,0.1,0.45125543087596454,Moderate
2026-06-07,P0002,GH013,F08,50.5573996,0.342993591,0.184837174,Fair,Moderate,0.8181829280563093,0,0.1,0.4668610707612618,Moderate
2026-06-21,P0002,GH013,F08,21.85490761,0.014087557,0.156938286,Poor,Moderate,0.26551704895069445,0,0.25,0.3786562834401389,Moderate
2026-07-05,P0002,GH013,F08,48.04381236,0.134725698,0.177038073,Fair,Minor,0.769783858658877,0.1,0.1,0.48077789888177536,Moderate
2026-07-19,P0002,GH013,F08,44.80537089,0.197255144,0.433227888,Good,Minor,0.7074277363203292,0.1,0,0.5054773972640658,Moderate
2026-08-02,P0002,GH013,F08,32.14377939,0.458757522,0.099032203,Fair,None,0.4636290585030278,0,0.1,0.39785543575060556,Moderate
2026-08-16,P0002,GH013,F08,29.51094571,0.015996989,0.182175031,Excellent,Moderate,0.4129339014134266,0,0,0.17016449038268533,Low
2026-08-30,P0002,GH013,F08,41.65361223,0.10503981,0.179167411,Excellent,None,0.6467406896637355,0,0,0.2467374063827471,Low
2026-02-15,P0003,GH003,F08,37.25960091,0.022996632,0.010660184,Good,Severe,0.5621340941871515,0,0,0.12527272283743032,Low
2026-03-01,P0003,GH003,F08,39.75008202,0.168765671,0.134077775,Good,None,0.6100882555377973,0,0,0.24142063470755948,Low
2026-03-15,P0003,GH003,F08,36.92054736,0.229676049,0.206163895,Good,Severe,0.5556056252186761,0,0,0.2842814949437352,Low
2026-03-29,P0003,GH003,F08,35.27877083,0.075111025,0.216108912,Fair,Minor,0.5239932526914565,0.1,0.1,0.42833651968829134,Moderate
2026-04-12,P0003,GH003,F08,29.83824841,0.227498104,0.315156514,Good,Minor,0.4192361080124969,0.1,0,0.4052919893024993,Moderate
2026-04-26,P0003,GH003,F08,41.81001343,0.140608411,0.248060238,Excellent,Moderate,0.6497521914776299,0,0,0.290790489245526,Low
2026-05-10,P0003,GH003,F08,28.19183565,0.214800446,0.370425321,Good,Minor,0.3875344649742159,0.1,0,0.4193784435448432,Moderate
2026-05-24,P0003,GH003,F08,36.98935759,0.142379102,0.374073508,Fair,Moderate,0.5569305647489321,0,0.1,0.4295518772497864,Moderate
2026-06-07,P0003,GH003,F08,21.84749751,0.242076975,0.075955946,Poor,None,0.2653743676311704,0,0.25,0.4219819904762341,Moderate
2026-06-21,P0003,GH003,F08,31.82717757,0.762037683,0.115603057,Excellent,None,0.4575328971231136,0,0,0.41024114412462265,Moderate
2026-07-05,P0003,GH003,F08,24.64077559,0.097388306,0.533368136,Good,Minor,0.31915887826556033,0.1,0,0.437933343953112,Moderate
2026-07-19,P0003,GH003,F08,39.78894972,0.378909096,0.211860756,Good,Minor,0.6108366522831669,0.1,0,0.45012285425663334,Moderate
2026-08-02,P0003,GH003,F08,36.77530355,0.06707589,0.236861119,Fair,Minor,0.5528089587143785,0.1,0.1,0.4406258567928757,Moderate
2026-08-16,P0003,GH003,F08,23.65831254,0.139609482,0.388745518,Good,Moderate,0.3002415729177805,0,0,0.2838471163835561,Low
2026-08-30,P0003,GH003,F08,28.48012066,0.203756151,0.044750462,Poor,Minor,0.3930853867736238,0.1,0.25,0.5200694381047247,Moderate
2026-02-15,P0004,GH002,F01,25.91192185,0.092946095,0.104534861,Fair,None,0.34363477274536613,0,0.1,0.24829877524907326,Low
2026-03-01,P0004,GH002,F01,38.83809254,0.404819278,0.004516555,Good,None,0.5925279172969617,0,0,0.26222478050939235,Low
2026-03-15,P0004,GH002,F01,20.8853379,0.203439342,0.196218533,Fair,Severe,0.24684800459322132,0,0.1,0.30887171046864426,Moderate
2026-03-29,P0004,GH002,F01,38.76654476,0.059959284,0.245028165,Good,None,0.5911502662990787,0,0,0.24947847690981576,Low
2026-04-12,P0004,GH002,F01,17.32372256,0.314188147,0.047492991,Poor,Moderate,0.17826917619034494,0,0.25,0.416991532638069,Moderate
2026-04-26,P0004,GH002,F01,22.00947733,0.338727858,0.24172371,Fair,None,0.26849328565573977,0,0.1,0.38102907693114796,Moderate
2026-05-10,P0004,GH002,F01,36.16522053,0.295428545,0.267687024,Fair,Minor,0.5410618230059816,0.1,0.1,0.5320715161511963,Moderate
2026-05-24,P0004,GH002,F01,32.43004482,0.235548073,0.151132002,Fair,None,0.46914109333204607,0,0.1,0.34427944511640923,Moderate
2026-06-07,P0004,GH002,F01,34.86192824,0.294004795,0.393508665,Good,Moderate,0.5159669573951708,0,0,0.38317396897903416,Moderate
2026-06-21,P0004,GH002,F01,20.65445006,0.44856825,0.137420038,Excellent,None,0.24240226409400423,0,0,0.26731835741880083,Low
2026-07-05,P0004,GH002,F01,33.52678427,0.225877455,0.140735209,Excellent,Minor,0.4902587883564097,0.1,0,0.3404397109712819,Moderate
2026-07-19,P0004,GH002,F01,43.002623,0.451999125,0.063355821,Good,None,0.672715863644613,0,0,0.3212529859289226,Moderate
2026-08-02,P0004,GH002,F01,37.94137683,0.143255228,0.091858364,Good,None,0.575261675175977,0,0,0.20652792863519542,Low
2026-08-16,P0004,GH002,F01,34.39994904,0.319945768,0.238054766,Good,Severe,0.5070715576234207,0,0,0.32051997502468416,Moderate
2026-08-30,P0004,GH002,F01,31.83217468,0.274596606,0.132986377,Good,Minor,0.45762911637097886,0.1,0,0.34747850502419575,Moderate
2026-02-15,P0005,GH004,F01,60,0.352715672,0.293576103,Excellent,Moderate,1,0,0,0.45555973155,Moderate
2026-03-01,P0005,GH004,F01,40.55286986,0.27123945,0.081630225,Good,None,0.6255459184990299,0,0,0.256776592449806,Low
2026-03-15,P0005,GH004,F01,32.04016266,0.258405589,0.115982287,Good,None,0.4616339205479175,0,0,0.2349607694095835,Low
2026-03-29,P0005,GH004,F01,52.7557779,0.355035615,0.049848494,Poor,Moderate,0.8605126559489086,0,0.25,0.5687968187397817,Moderate
2026-04-12,P0005,GH004,F01,38.80805967,0.155249323,0.036528906,Fair,Moderate,0.5919496350172768,0,0.1,0.2891651977534554,Low
2026-04-26,P0005,GH004,F01,50.89257677,0.307872555,0.20582976,Poor,Minor,0.8246367574094792,0.1,0.25,0.7153061377318959,High
2026-05-10,P0005,GH004,F01,47.62056206,0.475102715,0.152610275,Good,None,0.7616341830414181,0,0,0.3872874106082836,Moderate
2026-05-24,P0005,GH004,F01,47.29434897,0.486937329,0.278755784,Good,None,0.7553529568599624,0,0,0.44693875932199245,Moderate
2026-06-07,P0005,GH004,F01,37.02265254,0.204176678,0.115935984,Good,Moderate,0.5575716583103533,0,0,0.23514736176207066,Low
2026-06-21,P0005,GH004,F01,35.0664784,0.154050094,0.171372757,Good,Minor,0.5199055664203727,0.1,0,0.33501638683407453,Moderate
2026-07-05,P0005,GH004,F01,37.091217,0.054490017,0.226128808,Good,Minor,0.5588918655444325,0.1,0,0.33260784265888654,Moderate
2026-07-19,P0005,GH004,F01,37.67626981,0.356562424,0.12451694,Good,None,0.5701570450861431,0,0,0.29486088041722863,Low
2026-08-02,P0005,GH004,F01,46.20554592,0.302515738,0.116730261,Good,None,0.7343880770505447,0,0,0.3052867411601089,Moderate
2026-08-16,P0005,GH004,F01,46.11840875,0.024649664,0.285685087,Good,Minor,0.7327102526763544,0.1,0,0.38372772208527084,Moderate
2026-08-30,P0005,GH004,F01,52.77024711,0.243852203,0.224412032,Excellent,None,0.8607912602828947,0,0,0.35849193750657893,Moderate
2026-02-15,P0006,GH008,F05,33.75009866,0.306468012,0.183483101,Excellent,None,0.4945587022352911,0,0,0.28874294009705825,Low
2026-03-01,P0006,GH008,F05,45.42911307,0.218616133,0.291220531,Good,None,0.719437878867013,0,0,0.35145246127340263,Moderate
2026-03-15,P0006,GH008,F05,39.04131085,0.216861745,0.025901929,Fair,None,0.5964408815784478,0,0.1,0.3068456551156895,Moderate
2026-03-29,P0006,GH008,F05,39.21491211,0.100368589,0.107469881,Good,Minor,0.5997835701855961,0.1,0,0.30344716663711924,Moderate
2026-04-12,P0006,GH008,F05,30.47538686,0.230093749,0.244872163,Fair,None,0.4315041954560513,0,0.1,0.3770261245912103,Moderate
2026-04-26,P0006,GH008,F05,49.67109993,0.509618661,0.255730325,Excellent,Minor,0.8011172465662763,0.1,0,0.5536686269132552,Moderate
2026-05-10,P0006,GH008,F05,59.20163928,0.201325181,0.226815285,Excellent,None,0.9846275811411805,0,0,0.3694562078282361,Moderate
2026-05-24,P0006,GH008,F05,46.54688682,0.10832883,0.117910107,Fair,Minor,0.7409605888951234,0.1,0.1,0.4391667564290247,Moderate
2026-06-07,P0006,GH008,F05,38.01836954,0.321488811,0.083184466,Fair,Moderate,0.5767441681863992,0,0.1,0.36530292718727986,Moderate
2026-06-21,P0006,GH008,F05,28.354863,0.372435793,0.341432131,Good,None,0.3906735531668857,0,0,0.3621316971333771,Moderate
2026-07-05,P0006,GH008,F05,48.03785005,0.276729895,0.408739888,Excellent,Minor,0.7696690545053284,0.1,0,0.5347222237510657,Moderate
2026-07-19,P0006,GH008,F05,43.95383643,0.158263552,0.424002437,Fair,Moderate,0.6910314582170695,0,0.1,0.4843996314934139,Moderate
2026-08-02,P0006,GH008,F05,38.69358438,0.284391747,0.246716054,Good,Minor,0.5897454157179295,0.1,0,0.4285084188935858,Moderate
2026-08-16,P0006,GH008,F05,34.25880272,0.401244004,0.182066765,Good,None,0.5043537882028247,0,0,0.32323620329056496,Moderate
2026-08-30,P0006,GH008,F05,35.32848713,0.381986553,0.018870315,Good,None,0.5249505390014727,0,0,0.24717704310029454,Low
2026-02-15,P0007,GH008,F05,30.8153505,0.219423586,0.460744522,Fair,Minor,0.43805018818832014,0.1,0.1,0.571743327637664,Moderate
2026-03-01,P0007,GH008,F05,35.19369122,0.302968015,0.366322448,Fair,Moderate,0.5223550465917562,0,0.1,0.47535491616835124,Moderate
2026-03-15,P0007,GH008,F05,31.77791599,0.374966011,0.177914303,Good,None,0.4565843664371259,0,0,0.3026164134874252,Moderate
2026-03-29,P0007,GH008,F05,26.95451736,0.213105544,0.428857737,Poor,None,0.3637099273447114,0,0.25,0.5903149075189422,Moderate
2026-04-12,P0007,GH008,F05,16.97419667,0.56813147,0.318108942,Good,Minor,0.17153906253560294,0.1,0,0.47630285090712055,Moderate
2026-04-26,P0007,GH008,F05,43.7337509,0.401644101,0.406212691,Good,Minor,0.6867937159695233,0.1,0,0.5607298894939047,Moderate
2026-05-10,P0007,GH008,F05,16.89903332,0.81490807,0.312321844,Fair,Moderate,0.17009179381347436,0,0.1,0.5597810130626949,Moderate
2026-05-24,P0007,GH008,F05,33.97467315,0.488288344,0.280159398,Fair,Minor,0.49888287931314856,0.1,0.1,0.5967492253626298,Moderate
2026-06-07,P0007,GH008,F05,34.86929866,0.406652376,0.191171996,Good,Minor,0.5161088746771301,0.1,0,0.431577504735426,Moderate
2026-06-21,P0007,GH008,F05,20.43032942,0.582219109,0.26566728,Good,Moderate,0.23808682588834365,0,0,0.3709443293276687,Moderate
2026-07-05,P0007,GH008,F05,30.25334335,0.257071658,0.231668672,Fair,Minor,0.427228752344819,0.1,0.1,0.4796717331689637,Moderate
2026-07-19,P0007,GH008,F05,32.82580365,0.68038456,0.441280601,Fair,Minor,0.47676142127332594,0.1,0.1,0.7320631507046651,High
2026-08-02,P0007,GH008,F05,28.1338781,0.63224491,0.348391676,Good,None,0.3864184935689206,0,0,0.4553456714137841,Moderate
2026-08-16,P0007,GH008,F05,39.339241,0.203157998,0.299557914,Fair,Moderate,0.6021775203455341,0,0.1,0.42634186466910684,Moderate
2026-08-30,P0007,GH008,F05,29.72525004,0.479969325,0.544431117,Excellent,None,0.4170603267766617,0,0,0.49639533175533235,Moderate
2026-02-15,P0008,GH009,F06,28.37731392,0.561353114,0.331747435,Good,None,0.3911058451589138,0,0,0.42398110468178274,Moderate
2026-03-01,P0008,GH009,F06,23.92062702,0.324216222,0.443700732,Good,Minor,0.3052924327086948,0.1,0,0.47419949364173897,Moderate
2026-03-15,P0008,GH009,F06,15.91472937,0.393543533,0.14957086,Fair,None,0.15113904197494385,0,0.1,0.3352749319449888,Moderate
2026-03-29,P0008,GH009,F06,26.36728245,0.240682359,0.253176019,Excellent,None,0.3524027315134321,0,0,0.2686485805026864,Low
2026-04-12,P0008,GH009,F06,42.778536,0.306263689,0.197197374,Fair,Minor,0.6684010731764444,0.1,0.1,0.5296113240852889,Moderate
2026-04-26,P0008,GH009,F06,33.06226012,0.24204362200000001,0.232785904,Excellent,None,0.48131438562597834,0,0,0.2857318016251957,Low
2026-05-10,P0008,GH009,F06,27.68184679,0.181776155,0.21122944,Good,None,0.3777146402097261,0,0,0.2342178302919452,Low
2026-05-24,P0008,GH009,F06,35.08948812,0.229867695,0.126557684,Poor,Severe,0.5203486180946385,0,0.25,0.4914743746689277,Moderate
2026-06-07,P0008,GH009,F06,36.43516783,0.334262939,0.052914028,Excellent,None,0.5462596525853318,0,0,0.2500552717670664,Low
2026-06-21,P0008,GH009,F06,38.10460062,0.27453599,0.141314458,Good,Severe,0.5784045458167119,0,0,0.2753600117633424,Low
2026-07-05,P0008,GH009,F06,29.34326922,0.118936991,0.102926438,Fair,Severe,0.4097052941279171,0,0.1,0.26988590277558344,Low
2026-07-19,P0008,GH009,F06,34.11545053,0.233418954,0.199687685,Fair,None,0.5015935448018103,0,0.1,0.3718748011103621,Moderate
2026-08-02,P0008,GH009,F06,30.34356084,0.259670766,0.34596903,Excellent,None,0.42896588821577136,0,0,0.33236400924315423,Moderate
2026-08-16,P0008,GH009,F06,34.05259228,0.392920369,0.083049242,Fair,None,0.5003832105211704,0,0.1,0.3749709301542341,Moderate
2026-08-30,P0008,GH009,F06,25.38567424,0.254232283,0.240928329,Good,None,0.3335018860918586,0,0,0.26409942431837174,Low
2026-02-15,P0009,GH018,F06,36.23519622,0.092364280000000007,0.225680635,Good,None,0.5424092034440058,0,0,0.24236562443880116,Low
2026-03-01,P0009,GH018,F06,34.54622974,0.177675018,0.071403821,Good,None,0.5098881894228425,0,0,0.19629561363456852,Low
2026-03-15,P0009,GH018,F06,30.32278911,0.281854856,0.018646841,Good,None,0.42856592899184776,0,0,0.19275346384836956,Low
2026-03-29,P0009,GH018,F06,8.683706575,0.431993724,0.135780644,Excellent,None,0.01190585026379388,0,0,0.2146802632527588,Low
2026-04-12,P0009,GH018,F06,16.91764966,0.28600341,0.15380013,Good,None,0.170450251048317,0,0,0.20340130220966343,Low
2026-04-26,P0009,GH018,F06,38.86843481,0.430720048,0.145468264,Good,Moderate,0.5931121570671339,0,0,0.3348351670134268,Moderate
2026-05-10,P0009,GH018,F06,37.73598042,0.59360609,0.151302852,Fair,Moderate,0.571306771624838,0,0.1,0.49010976922496763,Moderate
2026-05-24,P0009,GH018,F06,29.41329093,0.262585464,0.013325047,Good,None,0.4110535606800726,0,0,0.18011189568601452,Low
2026-06-07,P0009,GH018,F06,33.97789235,0.133966449,0.084511492,Excellent,None,0.49894486494138723,0,0,0.18470740153827744,Low
2026-06-21,P0009,GH018,F06,30.18215478,0.130344223,0.03179113,Good,Severe,0.42585801792792494,0,0,0.145098090135585,Low
2026-07-05,P0009,GH018,F06,24.89257477,0.230237384,0.049216614,Good,None,0.3240072661763123,0,0,0.16753201393526246,Low
2026-07-19,P0009,GH018,F06,28.15408721,0.101997399,0.154605502,Good,None,0.3868076195565868,0,0,0.18263308946131737,Low
2026-08-02,P0009,GH018,F06,20.74917923,0.489055514,0.148165496,Good,Minor,0.24422627226838978,0.1,0,0.38668915755367794,Moderate
2026-08-16,P0009,GH018,F06,23.33343129,0.420332503,0.250959338,Excellent,None,0.29398599128749076,0,0,0.31884527640749816,Moderate
2026-08-30,P0009,GH018,F06,37.07609172,0.402019136,0.284406047,Good,Severe,0.5586006285964061,0,0,0.3804095444692812,Moderate
2026-02-15,P0010,GH013,F08,45.44082214,0.202052641,0.052318037,Good,Minor,0.7196633367633977,0.1,0,0.33819420835267955,Moderate
2026-03-01,P0010,GH013,F08,41.98654364,0.165437461,0.166210893,Good,Moderate,0.6531512769553766,0,0,0.2633282685910753,Low
2026-03-15,P0010,GH013,F08,39.17255496,0.323672834,0.380615471,Good,Minor,0.5989679841539264,0.1,0,0.5043560506807853,Moderate
2026-03-29,P0010,GH013,F08,44.78208993,0.354645778,0.343872456,Fair,None,0.7069794619255726,0,0.1,0.5202645198851145,Moderate
2026-04-12,P0010,GH013,F08,54.69136529,0.115869492,0.152829631,Poor,Moderate,0.8977823504009719,0,0.25,0.5388841262301944,Moderate
2026-04-26,P0010,GH013,F08,40.99156127,0.554744606,0.24571872,Excellent,None,0.6339929123645173,0,0,0.4315326185729035,Moderate
2026-05-10,P0010,GH013,F08,44.76958796,0.35239582,0.043941123,Good,None,0.706738736756378,0,0,0.2844597897012756,Low
2026-05-24,P0010,GH013,F08,21.5191363,0.166986543,0.357836009,Excellent,Minor,0.2590517794443308,0.1,0,0.37128184998886615,Moderate
2026-06-07,P0010,GH013,F08,32.68656081,0.262382917,0.076420748,Excellent,Minor,0.4740803033200635,0.1,0,0.3210394182140127,Moderate
2026-06-21,P0010,GH013,F08,34.24928728,0.44747129,0.260784506,Fair,Minor,0.5041705686059162,0.1,0.1,0.5748020929211832,Moderate
2026-07-05,P0010,GH013,F08,34.58152422,0.245195169,0.351617079,Good,Minor,0.5105677838923252,0.1,0,0.446159551478465,Moderate
2026-07-19,P0010,GH013,F08,36.38309806,0.227347012,0.129198527,Excellent,None,0.5452570502600042,0,0,0.24676220140200084,Low
2026-08-02,P0010,GH013,F08,34.54990302,0.48745252,0.366575869,Good,Minor,0.5099589183519233,0.1,0,0.5375593067203847,Moderate
2026-08-16,P0010,GH013,F08,51.29028151,0.188895539,0.146572472,Fair,Moderate,0.8322945538068495,0,0.1,0.3985299618113699,Moderate
2026-08-30,P0010,GH013,F08,44.8282863,0.164849359,0.208365082,Fair,None,0.7078689720575303,0,0.1,0.39303535696150604,Moderate
2026-02-15,P0011,GH009,F06,23.37704602,0.173395237,0.206184512,Fair,Moderate,0.29482579199558967,0,0.1,0.31243652174911796,Moderate
2026-03-01,P0011,GH009,F06,34.35761723,0.099716068,0.301235303,Fair,Moderate,0.5062564595129175,0,0.1,0.3717078020525836,Moderate
2026-03-15,P0011,GH009,F06,22.05791942,0.073655305,0.288985349,Good,Minor,0.26942603707902707,0.1,0,0.3097079712158054,Moderate
2026-03-29,P0011,GH009,F06,24.74367147,0.449990044,0.3696582,Good,Moderate,0.3211401362690939,0,0,0.38807073265381875,Moderate
2026-04-12,P0011,GH009,F06,33.71356362,0.168372196,0.212915589,Good,Moderate,0.49385522080912114,0,0,0.25351332781182423,Low
2026-04-26,P0011,GH009,F06,25.54508089,0.178321389,0.129491646,Fair,Moderate,0.33657125778224095,0,0.1,0.2879979784064482,Low
2026-05-10,P0011,GH009,F06,31.02605458,0.633536701,0.109844991,Excellent,None,0.44210729081358735,0,0,0.35958954946271743,Moderate
2026-05-24,P0011,GH009,F06,23.44863545,0.192664054,0.346680715,Good,None,0.2962042449633461,0,0,0.2826795896426692,Low
2026-06-07,P0011,GH009,F06,30.02828088,0.207385383,0.163345852,Good,Severe,0.42289517922233316,0,0,0.23066955329446664,Low
2026-06-21,P0011,GH009,F06,27.82059148,0.176240053,0.20892733,Fair,None,0.3803861662952243,0,0.1,0.3317785503090449,Moderate
2026-07-05,P0011,GH009,F06,41.49999682,0.179251472,0.177412387,Good,None,0.6437828281776528,0,0,0.2713301549855306,Low
2026-07-19,P0011,GH009,F06,21.52972133,0.363642745,0.212987687,Good,Moderate,0.25925559397417536,0,0,0.27497053869483506,Low
2026-08-02,P0011,GH009,F06,31.95934001,0.41024038,0.314365162,Good,Minor,0.4600776821234121,0.1,0,0.47706399232468244,Moderate
2026-08-16,P0011,GH009,F06,37.0265775,0.098304521,0.010009428,Fair,None,0.5576472333325363,0,0.1,0.2504402716165073,Low
2026-08-30,P0011,GH009,F06,19.67444572,0.049681137,0.282535095,Fair,None,0.22353230115552084,0,0.1,0.28923565093110415,Low
2026-02-15,P0012,GH017,F08,22.73573988,0.281334401,0.336956056,Good,None,0.28247745576881145,0,0,0.3065927567037623,Moderate
2026-03-01,P0012,GH017,F08,22.06331857,0.351786558,0.335565059,Fair,None,0.2695299975986298,0,0.1,0.42803557136972603,Moderate
2026-03-15,P0012,GH017,F08,32.06964835,0.369145956,0.189628164,Excellent,Minor,0.46220166688822006,0.1,0,0.406974091777644,Moderate
2026-03-29,P0012,GH017,F08,16.01212378,0.234309666,0.534916919,Good,None,0.15301436928942844,0,0,0.3533238705078857,Moderate
2026-04-12,P0012,GH017,F08,31.4344853,0.679927908,0.365237018,Excellent,Moderate,0.44997161573008526,0,0,0.4923257490460171,Moderate
2026-04-26,P0012,GH017,F08,18.9822677,0.287911554,0.170080142,Excellent,None,0.2102044279501503,0,0,0.21934599339003003,Low
2026-05-10,P0012,GH017,F08,24.25857351,0.465147941,0.195587306,Good,None,0.31179958526017293,0,0,0.31317598410203457,Moderate
2026-05-24,P0012,GH017,F08,24.41875576,0.539232604,0.32700819800000003,Good,None,0.31488389111222953,0,0,0.3988618787224459,Moderate
2026-06-07,P0012,GH017,F08,34.4028972,0.58703042,0.304649785,Good,Minor,0.5071283243821645,0.1,0,0.5439787151264329,Moderate
2026-06-21,P0012,GH017,F08,36.09405327,0.378897242,0.48264751,Good,None,0.539691498912689,0,0,0.45774371398253777,Moderate
2026-07-05,P0012,GH017,F08,36.149773,0.432022407,0.293560769,Excellent,Moderate,0.5407643811409883,0,0,0.3914630647281977,Moderate
2026-07-19,P0012,GH017,F08,39.33221536,0.480736283,0.25438067599999997,Fair,None,0.6020422417952175,0,0.1,0.5031374516090434,Moderate
2026-08-02,P0012,GH017,F08,25.19386637,0.576127064,0.14220013,Poor,Minor,0.3298086295923931,0.1,0.25,0.6815962568184786,High
2026-08-16,P0012,GH017,F08,37.2791137,0.539216207,0.187351332,Good,Minor,0.5625098125478748,0.1,0,0.485535734359575,Moderate
2026-08-30,P0012,GH017,F08,31.06288098,0.507399599,0.199072506,Good,None,0.44281638237042453,0,0,0.3557357638240849,Moderate
2026-02-15,P0013,GH008,F05,29.49792707,0.209387634,0.101401069,Fair,Severe,0.4126832277742574,0,0.1,0.3014527985048515,Moderate
2026-03-01,P0013,GH008,F05,43.42270192,0.193130363,0.578197465,Good,Minor,0.6808044744069268,0.1,0,0.5639453811813854,Moderate
2026-03-15,P0013,GH008,F05,36.79213729,0.313416885,0.055468312,Fair,None,0.5531330920237434,0,0.1,0.34528326855474867,Moderate
2026-03-29,P0013,GH008,F05,37.90285904,0.302374854,0.093611536,Fair,Minor,0.5745200159402921,0.1,0.1,0.4628603932880584,Moderate
2026-04-12,P0013,GH008,F05,33.59549878,0.381999685,0.149302342,Good,None,0.4915818848000806,0,0,0.2992023206100161,Low
2026-04-26,P0013,GH008,F05,27.14199166,0.322489804,0.186641976,Fair,None,0.3673197410450447,0,0.1,0.3703242688090089,Moderate
2026-05-10,P0013,GH008,F05,34.117726,0.185582413,0.115405726,Fair,Moderate,0.5016373589287637,0,0.1,0.31721389303575276,Moderate
2026-05-24,P0013,GH008,F05,21.89476072,0.280395905,0.064498702,Good,None,0.26628441974487205,0,0,0.18041986659897438,Low
2026-06-07,P0013,GH008,F05,44.22103158,0.546211312,0.120509584,Good,Minor,0.6961762952061001,0.1,0,0.48463853104122,Moderate
2026-06-21,P0013,GH008,F05,30.92015283,0.398987252,0.204435004,Good,Minor,0.44006815484647466,0.1,0,0.4196549209692949,Moderate
2026-07-05,P0013,GH008,F05,33.28546514,0.195798491,0.041760894,Excellent,Minor,0.48561219358781194,0.1,0,0.2844443128675624,Low
2026-07-19,P0013,GH008,F05,25.91186249,0.161072579,0.106048631,Good,None,0.3436336297698157,0,0,0.17282401255396315,Low
2026-08-02,P0013,GH008,F05,19.12599446,0.214380758,0.132680638,Good,None,0.21297188368863026,0,0,0.17733392913772605,Low
2026-08-16,P0013,GH008,F05,28.01275533,0.371743227,0.358932937,Fair,None,0.3840862771820968,0,0.1,0.46844720653641936,Moderate
2026-08-30,P0013,GH008,F05,29.63428439,0.214200797,0.30893086,Fair,None,0.41530878510065755,0,0.1,0.39705092297013145,Moderate
2026-02-15,P0014,GH019,F08,34.88581698,0.360605456,0.292363868,Good,Minor,0.5164269345810343,0.1,0,0.46106103711620683,Moderate
