plot_id,same_day_responses.x,avg_health_change_pct_3d,median_health_change_pct_3d,response_result,total_alerts,same_day_responses.y,same_day_response_rate,avg_health_score,greenhouse_id,farm_id,crop,treatment_block,treatment,plot_area_m2,plant_density_plants_m2,row_orientation
P0039,10,16.4585462800123,16.1915528458211,Strong improvement,24,10,0.4166666666666667,0.6745932832860474,GH020,F01,Tomato,C,High Light,22.5,14.95,North
P0113,6,16.3738676716252,21.907491972043,Strong improvement,18,6,0.3333333333333333,0.6783648112709222,GH013,F08,Strawberry,D,High Light,15.29,17.92,West
P0088,7,16.3026828307671,18.2456263934086,Strong improvement,24,7,0.2916666666666667,0.6735485568121735,GH010,F03,Strawberry,A,High Light,15.94,14.23,North
P0008,7,15.9829539414577,13.9239903760371,Strong improvement,25,7,0.28,0.6693363155064389,GH009,F06,Strawberry,D,Integrated Pest,22.28,16.63,South
P0043,9,15.8920401314222,18.8262678309303,Strong improvement,22,9,0.4090909090909091,0.6746978604381058,GH009,F06,Strawberry,A,High Light,13.92,8.25,West
P0101,10,15.7091715386514,11.4822834892183,Strong improvement,24,10,0.4166666666666667,0.6706414854951194,GH019,F08,Strawberry,D,Integrated Pest,14.02,9.34,North
P0038,7,15.1882915025592,11.2650825628966,Strong improvement,20,7,0.35,0.6771096567013063,GH018,F06,Strawberry,C,High Light,11.9,23.57,North
P0028,9,14.9085069551742,14.1004341936,Strong improvement,27,9,0.3333333333333333,0.6680265173662641,GH017,F08,Strawberry,D,Integrated Pest,12.17,23.94,South
P0031,8,14.7201556231796,14.116299419609,Strong improvement,18,8,0.4444444444444444,0.6784017774704553,GH019,F08,Strawberry,D,High Light,20.48,18.27,East
P0051,16,14.4982238058988,11.5309601870252,Strong improvement,35,16,0.45714285714285713,0.6658759068919331,GH002,F01,Tomato,B,High N,12.1,17.78,West
P0065,9,14.172914190509,13.9592168124722,Strong improvement,24,9,0.375,0.6763409172397941,GH020,F01,Tomato,B,High Light,19.43,18.56,North
P0071,7,13.6715288441151,7.71034359344171,Strong improvement,20,7,0.35,0.675606558447879,GH017,F08,Strawberry,A,High Light,14.94,14.38,South
P0019,10,13.3446805472447,9.04610895378533,Strong improvement,27,10,0.37037037037037035,0.670830840825794,GH002,F01,Tomato,C,Integrated Pest,9.29,13.91,North
P0050,4,13.168553324992,13.5287206244946,Strong improvement,18,4,0.2222222222222222,0.6765172340447182,GH018,F06,Strawberry,C,High Light,13.75,12.7,East
P0032,6,13.1680571731975,15.3058145656753,Strong improvement,24,6,0.25,0.6725695927320452,GH020,F01,Tomato,A,Integrated Pest,22.38,17.7,East
P0116,13,12.7570103294619,13.682932396925,Strong improvement,20,13,0.65,0.6767247513028676,GH007,F04,Cucumber,C,High Light,8.52,12.48,North
P0030,11,12.7365987119888,13.0026456529727,Strong improvement,39,11,0.28205128205128205,0.6664216367588125,GH012,F04,Cucumber,A,High N,19.21,21.55,West
P0063,8,12.5304750963754,12.4987127519821,Strong improvement,18,8,0.4444444444444444,0.6760643861167223,GH019,F08,Strawberry,A,High Light,21.38,19.14,North
P0074,11,12.5262881860287,7.85742980254309,Strong improvement,29,11,0.3793103448275862,0.6683520711341991,GH005,F01,Tomato,A,Integrated Pest,17.85,23.1,South
P0009,11,12.4682840486222,10.081744629099,Strong improvement,33,11,0.3333333333333333,0.6674724090655902,GH018,F06,Strawberry,C,Integrated Pest,13.7,22.51,North
P0084,19,12.4179862010602,9.01345126956116,Strong improvement,60,19,0.31666666666666665,0.6551766983530573,GH011,F05,Strawberry,A,Control,17.1,17.21,East
P0036,10,12.1753006256976,11.4783698275417,Strong improvement,33,10,0.30303030303030304,0.6675561423276021,GH007,F04,Cucumber,A,Integrated Pest,13.86,19.91,East
P0055,11,12.1431924332926,7.39791433650656,Strong improvement,30,11,0.36666666666666664,0.6654439052886333,GH012,F04,Cucumber,B,High N,15.45,16.68,North
P0054,13,12.1216455918882,8.91189144437973,Strong improvement,30,13,0.43333333333333335,0.669650755953935,GH004,F01,Tomato,C,Integrated Pest,17.26,15.02,East
P0099,11,11.67481441172,11.3699711653933,Strong improvement,24,11,0.4583333333333333,0.6718468673432673,GH016,F05,Strawberry,A,High Light,23.79,13.99,North
P0081,6,11.5722043165713,7.24130252113612,Strong improvement,20,6,0.3,0.6765716319675098,GH003,F08,Strawberry,B,High Light,21.03,12.51,West
P0007,15,11.4274679694199,9.37125388854394,Strong improvement,62,15,0.24193548387096775,0.6524714841603453,GH008,F05,Strawberry,B,Control,9.69,15.3,West
P0086,7,11.2156807219842,12.5758312187004,Strong improvement,24,7,0.2916666666666667,0.6753127658530127,GH018,F06,Strawberry,C,High Light,16.99,11.82,East
P0053,6,11.2076798626379,14.0719003915631,Strong improvement,23,6,0.2608695652173913,0.6775570640427759,GH010,F03,Strawberry,D,High Light,20.73,22.24,East
P0103,9,11.0115594675216,12.008353755039,Strong improvement,20,9,0.45,0.6765306605203332,GH007,F04,Cucumber,C,High Light,15.88,8.18,West
P0091,10,10.8443333780332,8.6770289288189,Strong improvement,30,10,0.3333333333333333,0.6680099142386168,GH018,F06,Strawberry,D,Integrated Pest,17.18,18.11,North
P0069,25,10.679349313186,10.1245649013668,Strong improvement,63,25,0.3968253968253968,0.6500609240754126,GH020,F01,Tomato,C,Control,12.98,23.67,North
P0115,9,10.4176765204761,8.12190350331964,Strong improvement,26,9,0.34615384615384615,0.6713372812111371,GH013,F08,Strawberry,B,Integrated Pest,9.24,23.59,West
P0111,17,10.3610283498637,7.14942668161465,Strong improvement,60,17,0.2833333333333333,0.6551325677850369,GH016,F05,Strawberry,C,Control,18.04,17.35,West
P0077,11,10.1234125254063,9.64948876145002,Strong improvement,35,11,0.3142857142857143,0.6637456807407521,GH019,F08,Strawberry,C,High N,23.06,14.18,North
P0119,22,10.0899423324776,7.59918090265182,Strong improvement,62,22,0.3548387096774194,0.6529776386845649,GH013,F08,Strawberry,C,Control,14.69,22.92,South
P0068,8,10.026860691049,11.1505144503967,Strong improvement,21,8,0.38095238095238093,0.6767408813185062,GH013,F08,Strawberry,A,High Light,8.23,9.86,North
P0045,6,10.0201777769752,10.8048070957198,Strong improvement,26,6,0.23076923076923078,0.6695140026445505,GH005,F01,Tomato,A,Integrated Pest,12.71,14.16,East
P0056,14,9.99857876696004,9.02668402513362,Strong improvement,88,14,0.1590909090909091,0.6403359664947744,GH004,F01,Tomato,B,Low N,21.77,12,South
P0026,22,9.98939719147375,10.0212166758167,Strong improvement,61,22,0.36065573770491804,0.6540233981851488,GH007,F04,Cucumber,A,Control,11.35,16.66,South
P0020,7,9.9575831673356,12.8000463383958,Strong improvement,18,7,0.3888888888888889,0.6774866861312581,GH015,F02,Pepper,C,High Light,13.88,18.12,South
P0023,6,9.93127922868979,5.60317272338893,Strong improvement,31,6,0.1935483870967742,0.665564628052303,GH016,F05,Strawberry,D,High N,11.52,19.38,East
P0114,11,9.5152841035624,9.56718014949604,Strong improvement,33,11,0.3333333333333333,0.6697358306120502,GH005,F01,Tomato,B,Integrated Pest,18.35,14.21,West
P0037,28,9.5081533902067,8.35700403216102,Strong improvement,63,28,0.4444444444444444,0.6544397131894696,GH020,F01,Tomato,A,Control,16.68,16.14,South
P0005,12,9.49723380774447,11.2371934773596,Strong improvement,33,12,0.36363636363636365,0.6651099896004321,GH004,F01,Tomato,C,High N,11.25,23.09,East
P0040,15,9.39946217514478,6.80141540392367,Strong improvement,64,15,0.234375,0.6519706135909143,GH005,F01,Tomato,B,Control,17.23,15.88,North
P0006,12,9.38983331646916,9.03714851155629,Strong improvement,36,12,0.3333333333333333,0.6642317510229898,GH008,F05,Strawberry,C,High N,10.58,22.88,North
P0112,28,9.36093490828165,7.79175477106364,Strong improvement,62,28,0.45161290322580644,0.6504679566843387,GH009,F06,Strawberry,C,Control,22.64,23.34,West
P0035,19,9.17817237279408,8.85329280513606,Strong improvement,69,19,0.2753623188405797,0.6511722424352043,GH016,F05,Strawberry,A,Control,10.81,8.29,South
P0085,9,9.10933837902508,8.50970310610001,Strong improvement,28,9,0.32142857142857145,0.671612840530443,GH007,F04,Cucumber,D,Integrated Pest,13.95,20.42,West
P0016,20,8.91012588515479,8.39567720181026,Strong improvement,32,20,0.625,0.6666386338307306,GH019,F08,Strawberry,A,High N,17.75,16.04,South
P0098,23,8.67958496337063,5.804486864036,Strong improvement,79,23,0.2911392405063291,0.6432639169405823,GH013,F08,Strawberry,A,Low N,22.27,10.35,North
P0027,40,8.57219575283025,6.2028402310341,Strong improvement,96,40,0.4166666666666667,0.6297060449444563,GH003,F08,Strawberry,C,Shade,18.56,21.08,North
P0042,19,8.28572100312894,5.11098571926068,Strong improvement,61,19,0.3114754098360656,0.6537705054136843,GH002,F01,Tomato,A,Control,23.91,15.52,South
P0003,34,8.2788309509855,8.93053013920886,Strong improvement,102,34,0.3333333333333333,0.62842816241563,GH003,F08,Strawberry,C,Shade,22.33,15.61,North
P0120,39,8.25106148019814,7.43652581994986,Strong improvement,95,39,0.4105263157894737,0.6362501379631456,GH009,F06,Strawberry,C,Reduced Pest,10.64,14.58,South
P0090,6,8.21362055417592,7.27275973840149,Strong improvement,19,6,0.3157894736842105,0.6721450441801203,GH013,F08,Strawberry,C,Integrated Pest,13.68,23.31,East
P0107,31,8.05739774580295,9.59127291861377,Strong improvement,94,31,0.32978723404255317,0.6366603580024436,GH012,F04,Cucumber,B,Reduced Pest,23.41,8.19,West
P0061,22,7.9620354752752,4.18655534182165,Strong improvement,77,22,0.2857142857142857,0.6422782970584769,GH017,F08,Strawberry,D,Low N,13.17,20.72,East
P0048,43,7.56135293363113,5.9788824501485,Strong improvement,93,43,0.46236559139784944,0.6321336017226239,GH007,F04,Cucumber,D,Shade,23.84,10.24,East
P0017,23,7.4094210960723,5.29535508752541,Strong improvement,94,23,0.24468085106382978,0.6348867418066642,GH004,F01,Tomato,C,Reduced Pest,13.52,18.15,South
P0087,30,7.29073141136935,7.82272563073037,Strong improvement,105,30,0.2857142857142857,0.6271398091618413,GH010,F03,Strawberry,A,Shade,20.07,9.65,North
P0047,24,7.28614976133634,5.51342363568446,Strong improvement,90,24,0.26666666666666666,0.639815394651327,GH014,F02,Pepper,B,Low N,22.88,9.13,South
P0105,35,7.2790764097762,6.39479787599122,Strong improvement,98,35,0.35714285714285715,0.6330327495469646,GH006,F07,Strawberry,A,Shade,19.94,17.33,South
P0089,13,7.23322424320513,3.89555802142344,Strong improvement,40,13,0.325,0.6664280990813878,GH012,F04,Cucumber,C,High N,14.23,8.17,North
P0052,32,6.8289408809622,5.64987168754949,Strong improvement,102,32,0.3137254901960784,0.6295409484664319,GH016,F05,Strawberry,B,Shade,16.02,20.77,North
P0001,26,6.60866069882946,6.54453613510615,Strong improvement,86,26,0.3023255813953488,0.6422373438275475,GH003,F08,Strawberry,A,Low N,11.78,12.1,East
P0025,32,6.5429481825443,8.52168673972281,Strong improvement,96,32,0.3333333333333333,0.6293521999398178,GH001,F02,Pepper,D,Shade,22.99,10.2,West
P0080,20,6.48472441187303,5.06777595614304,Strong improvement,57,20,0.3508771929824561,0.6527789098981664,GH016,F05,Strawberry,C,Control,18.49,14.17,South
P0022,8,6.38207634701225,6.22421817044231,Strong improvement,38,8,0.21052631578947367,0.6659636004036509,GH017,F08,Strawberry,D,High N,10.98,8.65,West
P0049,27,6.30984757836032,6.85743695414837,Strong improvement,79,27,0.34177215189873417,0.6436311190572535,GH001,F02,Pepper,B,Low N,13.16,21.58,North
P0041,21,6.30179912821207,3.35804270897329,Strong improvement,92,21,0.22826086956521738,0.6348927359920126,GH004,F01,Tomato,D,Reduced Pest,15.99,17.15,West
P0044,22,6.15849583418823,5.57056813612407,Strong improvement,69,22,0.3188405797101449,0.6477088614841446,GH017,F08,Strawberry,A,Control,16.84,17.16,West
P0021,7,6.10993962245113,8.10826327448689,Strong improvement,30,7,0.23333333333333334,0.6637834756867194,GH004,F01,Tomato,B,High N,21.06,20.77,North
P0066,36,6.08595155709185,6.9093970910704,Strong improvement,96,36,0.375,0.637042370783719,GH019,F08,Strawberry,A,Reduced Pest,19.81,16.87,South
P0094,36,6.06034079253736,6.79949212268564,Strong improvement,85,36,0.4235294117647059,0.6400728637161128,GH009,F06,Strawberry,A,Low N,23.59,23.93,South
P0078,20,6.04689276899865,3.64298083371265,Strong improvement,75,20,0.26666666666666666,0.6449836927840644,GH009,F06,Strawberry,D,Low N,11.31,12.38,West
P0110,42,5.98087332834734,4.46001697787582,Strong improvement,90,42,0.4666666666666667,0.6425877244880457,GH007,F04,Cucumber,A,Low N,10.66,11.47,East
P0076,25,5.93044014246873,5.05616803722163,Strong improvement,76,25,0.32894736842105265,0.6437438583436939,GH019,F08,Strawberry,D,Low N,17.17,10.06,North
P0046,9,5.76659154420226,5.13929876348924,Strong improvement,38,9,0.23684210526315788,0.6646612010002818,GH020,F01,Tomato,A,High N,10.71,16.91,East
P0018,35,5.75809907669843,5.3015547939675,Strong improvement,103,35,0.33980582524271846,0.6355512112588689,GH013,F08,Strawberry,B,Reduced Pest,15.83,23.77,West
P0015,29,5.72921318540286,4.29619983083741,Strong improvement,90,29,0.32222222222222224,0.6409034114540293,GH001,F02,Pepper,C,Low N,19.4,10.37,West
P0011,37,5.69784859323111,4.32940210871061,Strong improvement,97,37,0.38144329896907214,0.6323146109987748,GH009,F06,Strawberry,C,Shade,10.63,16.55,South
P0117,25,5.60091509750959,3.54792768068433,Strong improvement,91,25,0.27472527472527475,0.6364857115239537,GH020,F01,Tomato,D,Reduced Pest,18.96,10.6,South
P0010,11,5.58794941294268,4.40540737760852,Strong improvement,34,11,0.3235294117647059,0.6643719477035235,GH013,F08,Strawberry,A,High N,14.83,21.09,North
P0108,33,5.50547493145777,5.78851858957707,Strong improvement,93,33,0.3548387096774194,0.6366613809645906,GH020,F01,Tomato,A,Reduced Pest,13.16,8.69,North
P0034,7,5.49433768629597,7.465792864321,Strong improvement,19,7,0.3684210526315789,0.6754928614320093,GH016,F05,Strawberry,D,High Light,16.78,19.07,West
P0060,18,5.47653484792974,3.93485943264166,Strong improvement,103,18,0.17475728155339806,0.6263691111658151,GH004,F01,Tomato,C,Shade,10.21,10.12,South
P0057,27,5.27243198076839,2.1529665282239,Strong improvement,103,27,0.2621359223300971,0.6295196575182108,GH018,F06,Strawberry,B,Shade,13.76,10.03,North
P0058,32,5.23948600987807,2.64616503795248,Strong improvement,95,32,0.3368421052631579,0.6359894216171135,GH008,F05,Strawberry,D,Reduced Pest,12.34,23.44,East
P0002,31,5.20942580771479,5.42058478480197,Strong improvement,96,31,0.3229166666666667,0.6297803451431793,GH013,F08,Strawberry,A,Shade,14.84,8.41,North
P0070,33,5.17468286825503,5.46276544962896,Strong improvement,87,33,0.3793103448275862,0.6388791787499725,GH002,F01,Tomato,D,Low N,20.21,20.91,West
P0062,6,4.99582947024864,4.5198339567297,Slight improvement,24,6,0.25,0.6705290275148661,GH013,F08,Strawberry,C,Integrated Pest,19.9,12.01,South
P0012,13,4.77056945993708,4.75363242741309,Slight improvement,65,13,0.2,0.650890773995567,GH017,F08,Strawberry,A,Control,9.92,13.4,East
P0067,28,4.61115718242949,2.8715726187833,Slight improvement,111,28,0.25225225225225223,0.6260054727317317,GH017,F08,Strawberry,A,Shade,8.76,17.06,East
P0029,27,4.45846912826364,3.30797729084332,Slight improvement,104,27,0.25961538461538464,0.6295787505795963,GH014,F02,Pepper,D,Reduced Pest,22.41,18.13,North
P0083,20,4.43276818309155,1.84959429644742,Slight improvement,73,20,0.273972602739726,0.6480813388610404,GH004,F01,Tomato,D,Control,20.86,12.51,South
P0073,10,4.39906152894878,2.99131048553921,Slight improvement,34,10,0.29411764705882354,0.6659115662144244,GH014,F02,Pepper,B,High N,16.05,21.7,North
P0092,8,4.39257873265899,5.2371265705744,Slight improvement,42,8,0.19047619047619047,0.6652225297194293,GH020,F01,Tomato,A,High N,17.64,16.86,North
P0106,36,4.32987300851694,3.87877661185219,Slight improvement,100,36,0.36,0.6300360769800557,GH016,F05,Strawberry,A,Shade,15.64,9.33,North
P0064,32,4.23358657592337,4.71587575273262,Slight improvement,86,32,0.37209302325581395,0.6429349885181992,GH011,F05,Strawberry,A,Low N,22.64,15.08,West
P0075,9,3.8143537140901,3.94421799712476,Slight improvement,27,9,0.3333333333333333,0.6708358446708177,GH002,F01,Tomato,A,Integrated Pest,17.37,23.04,West
P0072,22,3.73256575497676,1.20170865343075,Slight improvement,84,22,0.2619047619047619,0.6364528801433511,GH013,F08,Strawberry,B,Reduced Pest,22.19,12.17,South
P0093,25,3.38540404617795,2.33834757934555,Slight improvement,99,25,0.25252525252525254,0.6348244399574599,GH012,F04,Cucumber,D,Reduced Pest,20.67,20.63,North
P0082,37,3.20992267867399,1.30118535070705,Slight improvement,101,37,0.36633663366336633,0.6364134124640497,GH003,F08,Strawberry,B,Reduced Pest,13.57,22.99,West
P0013,3,2.62631477924481,9.45431243947645,Slight improvement,22,3,0.13636363636363635,0.6743646921797909,GH008,F05,Strawberry,C,High Light,11.5,16.93,West
P0095,9,1.96966613068268,-1.4620857473868,Slight improvement,35,9,0.2571428571428571,0.6623477087718902,GH006,F07,Strawberry,A,High N,22.2,13.61,South
P0104,18,1.00335177973196,-1.12540856180478,Slight improvement,85,18,0.21176470588235294,0.6434301320934411,GH015,F02,Pepper,B,Low N,19.86,20.28,East
P0118,30,0.707680504888143,1.43073490009363,Slight improvement,89,30,0.33707865168539325,0.6365163772754427,GH018,F06,Strawberry,C,Reduced Pest,23.05,14.67,North
