plot_id,crop,treatment,treatment_block,plot_area_m2,plant_density_plants_m2,risk_score,risk_category,main_driver,plant_stress_index,disease_risk_index,pest_pressure_index,current_risk,trend_risk_n,anomaly_risk,response_risk,alert_flag,action_taken,action_delay_days,season_yield_kg_m2,marketable_ratio,season_profit_cad,season_roi,precision_benefit_cad
P0018,Strawberry,Reduced Pest,B,15.83,23.77,41.91522935814696,Moderate,Plant stress,0.5910001201491608,0.124412238,0.3923901630237418,0.4113017640793287,0.34831195140823196,0.4572601081748995,0.4833333333333333,1,1,2,4.75401835172491,0.851254280294572,454.671265058953,0.410618579623795,295.536322288319
P0084,Strawberry,Control,A,17.1,17.21,41.35857951888709,Moderate,Environment anomaly,0.5568799399359308,0.1240063921087501,0.3565434583297265,0.38695057926653575,0.2591982582423491,0.6501009727583139,0.41666666666666663,1,1,1,4.8640994909725,0.959329613370807,964.260834866364,0.585657781052551,626.769542663137
P0015,Pepper,Low N,C,19.4,10.37,41.03567162643971,Moderate,Plant stress,0.5918046038411976,0.1344737731173161,0.4259095301476235,0.4214263398853183,0.308239728395993,0.37898782602768716,0.55,1,1,0,6.77516165179568,0.841189463280864,463.021830101638,0.39697658043991,300.964189566065
P0098,Strawberry,Low N,A,22.27,10.35,39.64208872854069,Moderate,Environment anomaly,0.5764698640798177,0.1450534502139405,0.3598111219592774,0.40371319149594653,0.2405502942679005,0.6249184834742526,0.35,1,1,0,4.04578679459189,0.843880100978154,735.616093298441,0.505647497675881,478.150460643987
P0120,Strawberry,Reduced Pest,C,10.64,14.58,38.85869070886968,Moderate,Plant stress,0.5955416703829614,0.1243062011305208,0.4231570743799747,0.41969411040663185,0.3080182727744966,0.406780334597091,0.41666666666666663,1,1,1,5.6223899007142,0.854853683249197,368.640050390202,0.39937889865095,239.616032753631
P0056,Tomato,Low N,B,21.77,12,38.8185353217155,Moderate,Plant stress,0.5632993029497225,0.1296582031296813,0.3614477826187533,0.39283666893751634,0.30865254893457866,0.45098024261023145,0.41666666666666663,1,1,1,8.19995549972153,0.974594725267861,737.317894740489,0.489696565540853,479.256631581318
P0107,Cucumber,Reduced Pest,B,23.41,8.19,38.79656461229118,Moderate,Plant stress,0.5777715612951535,0.1201061679779419,0.3544553239399516,0.3958086958289497,0.3043427566706226,0.45006790040895206,0.41666666666666663,1,1,1,7.58436479104376,0.965924146371629,-148.260947728959,-0.119248360092752,0
P0087,Strawberry,Shade,A,20.07,9.65,36.68872142930887,Moderate,Plant stress,0.5707115891781653,0.1511329551063232,0.3871539432835862,0.4081264697776969,0.2610643038247835,0.4438843695734946,0.35,1,1,0,4.00292118401797,0.904645127226899,609.627813493625,0.477636516985021,396.258078770856
P0024,Strawberry,Integrated Pest,C,18.32,10.79,36.489407045661444,Moderate,Environment anomaly,0.513785069,0.122718759,0.3513648918687809,0.3639811405737562,0.3940711907819723,0.6949143678015335,0,0,0,0,6.02608407595902,0.904502805650122,446.386899693307,0.368130925916703,290.15148480065
P0043,Strawberry,High Light,A,13.92,8.25,36.33334521360185,Moderate,Environment anomaly,0.5441734115318752,0.1431293883940848,0.3630756606321392,0.38764065441059087,0.44229515963631205,0.5854271659161686,0,0,0,0,6.35796311601322,0.852381952018638,1394.66936237591,1.17804318199238,906.535085544342
P0079,Strawberry,High Light,C,8.29,9.51,34.28792052345302,Moderate,Environment anomaly,0.4779276275404769,0.1542285818500881,0.3754384790442243,0.36032008413410976,0.38060687384275205,0.6080772866345188,0,0,0,0,5.57700592737299,0.899051101405833,1896.04583498999,1.2,1232.4297927435
P0081,Strawberry,High Light,B,21.03,12.51,34.20976638501273,Moderate,Environment anomaly,0.4922295317921067,0.1533475755653507,0.3622898635528955,0.36457701127623765,0.33367759345637815,0.655381557696748,0,0,0,0,5.12771482705914,0.883356038899502,993.148817079553,0.576688485651695,645.546731101709
P0041,Tomato,Reduced Pest,D,15.99,17.15,33.60376062598459,Moderate,Response issue,0.5752122860463635,0.1413466705054039,0.361950725,0.40240028917480297,0,0.37598752524332424,0.6,1,0,0,9.70687653473349,0.856530736632655,417.460066112742,0.433761181498672,271.349042973282
P0064,Strawberry,Low N,A,22.64,15.08,33.38850020638024,Moderate,Plant stress,0.5702972834335338,0.1220370470813124,0.3631303850194224,0.39438583284504514,0.28396099954931614,0.27429855340353804,0.35,1,1,0,4.47361615525666,0.883909661185878,528.865475112343,0.409894053069912,343.762558823023
P0046,Tomato,High N,A,10.71,16.91,33.326543876967996,Moderate,Environment anomaly,0.5190047269156425,0.1296816659128528,0.3530440770270396,0.369015678637085,0.2910515700142979,0.6567352937156286,0,0,0,0,9.33656393974068,0.898629730589209,804.706137343931,0.447538623773926,523.058989273555
P0052,Strawberry,Shade,B,16.02,20.77,33.1298810542324,Moderate,Plant stress,0.6147151134201247,0.1315258260956484,0.3846632132485289,0.42374794718846265,0.09025292225565867,0.38545232564557047,0.41666666666666663,1,1,1,4.61682993735138,0.90426211545793,340.433316825832,0.271484900343505,221.281655936791
P0089,Cucumber,High N,C,14.23,8.17,33.12600282795923,Moderate,Environment anomaly,0.5101586904213576,0.1317696900035143,0.3694776040087226,0.36850577301347764,0.2767049232955137,0.6655338845049837,0,0,0,0,8.35346648488065,0.891161418699999,223.479361317739,0.19292678448145,145.26158485653
P0091,Strawberry,Integrated Pest,D,17.18,18.11,32.95947105751623,Moderate,Environment anomaly,0.484848139081637,0.1556992419678632,0.3834779648325955,0.36582943509769655,0.26822699987038806,0.6724882916168574,0,0,0,0,6.09074655823696,0.942945683965721,631.036251095912,0.456610483940604,410.173563212343
P0062,Strawberry,Integrated Pest,C,19.9,12.01,32.29779421611545,Moderate,Environment anomaly,0.4903290966177371,0.1408483376558349,0.396858678,0.36679078520561903,0.3085896469394666,0.5872687780216059,0,0,0,0,5.01483097657373,0.945890692844083,537.384737757341,0.366770442819741,349.300079542272
P0114,Tomato,Integrated Pest,B,18.35,14.21,32.18976389239149,Moderate,Environment anomaly,0.4659221176276512,0.159293895,0.3805748007182496,0.3568641874574755,0.3841681055558745,0.5047657346241492,0,0,0,0,7.99290858787629,0.918634476032863,714.680901240809,0.494329020115492,464.542585806526
P0008,Strawberry,Integrated Pest,D,22.28,16.63,32.021933377186265,Moderate,Environment anomaly,0.46291405886482184,0.122331081,0.3927208373931267,0.3467005212110363,0.2563758264391187,0.6739009736911012,0,0,0,0,5.67517133224618,0.932349368777217,769.277585077006,0.451819686177885,500.030430300054
P0061,Strawberry,Low N,D,13.17,20.72,31.669849919722132,Moderate,Environment anomaly,0.5358972904945383,0.1423035629710846,0.353017243,0.38124316273859454,0.2561978760266495,0.5960696161602544,0,0,0,0,4.42414951539242,0.851665782409476,423.323303386892,0.396410179070969,275.16014720148
P0103,Cucumber,High Light,C,15.88,8.18,31.62037449990361,Moderate,Plant stress,0.5114955904923946,0.1469783274091878,0.3668996841519114,0.3732212302993359,0.3441648352358924,0.49767552792647707,0,0,0,0,8.07164244261645,0.862762559172032,684.527448484859,0.415571737244411,444.942841515158
P0060,Tomato,Shade,C,10.21,10.12,31.584913993595187,Moderate,Plant stress,0.598021279,0.1407590565122323,0.3919000188026776,0.4196183602142052,0,0.4949135693049003,0.35,1,1,0,8.87062581041753,0.874237977316649,704.213631707201,0.492927887879906,457.738860609681
P0025,Pepper,Shade,D,22.99,10.2,31.405548549548502,Moderate,Environment anomaly,0.5102178448707466,0.1434544145439338,0.3928602971162704,0.3767173062218075,0.22109313837321803,0.6346557186227396,0,0,0,0,6.43286178658735,0.845387715508311,459.237139408356,0.419569954648675,298.504140615432
P0028,Strawberry,Integrated Pest,D,12.17,23.94,31.20855813366004,Moderate,Plant stress,0.5208423119280375,0.1287415877773959,0.4086216521146772,0.380767962720173,0.4126500625600997,0.37827139372257473,0,0,0,0,5.99441837318317,0.888884315918354,763.11724167086,0.468241958528752,496.026207086059
P0094,Strawberry,Low N,A,23.59,23.93,30.99802719094029,Moderate,Environment anomaly,0.4808500580988651,0.1590408794774657,0.3694059981669393,0.3620184925260601,0.11901747739237,0.767597150885947,0,0,0,0,4.6607454805543,0.939053640366864,1532.1629019999,1.2,995.905886299934
P0005,Tomato,High N,C,11.25,23.09,30.669950678215553,Moderate,Plant stress,0.5025068948944071,0.1520182254801883,0.3937795869076552,0.3756148324727911,0.30868640745931886,0.49031356775924456,0,0,0,0,10.2721385397839,0.878086265442566,810.344445934745,0.463783913825333,526.723889857584
P0038,Strawberry,High Light,C,11.9,23.57,29.67364170302912,Moderate,Plant stress,0.4892963212501648,0.1465479882259591,0.3936772916347367,0.3673480154198175,0.38368381841032423,0.36121828515386994,0,0,0,0,6.55699674190709,0.965949394727531,478.502922010742,0.404747021128695,311.026899306983
P0102,Tomato,High Light,D,19.28,11.98,29.655320634958098,Moderate,Environment anomaly,0.4280246732528735,0.1463139751204852,0.367825983,0.3314717257625823,0.29929442383686766,0.5285724818673013,0,0,0,0,10.8948679909821,0.973370914434879,436.206444612247,0.348027048318469,283.53418899796
P0116,Cucumber,High Light,C,8.52,12.48,29.60817955373929,Moderate,Environment anomaly,0.4477778266700741,0.1292981212233733,0.3899964698633226,0.3406776436747136,0.28532481103853835,0.5275670874580428,0,0,0,0,8.91906255347023,0.948391796376454,653.717907833483,0.449955887111346,424.916640091764
P0111,Strawberry,Control,C,18.04,17.35,29.01939036433711,Moderate,Plant stress,0.5407198536599126,0.1580562006222107,0.3988730064078297,0.3975513882981854,0.3072941256371078,0.3711369316486464,0,0,0,0,5.83153126585457,0.92786665644286,668.506733565295,0.437027238603042,434.529376817442
P0101,Strawberry,Integrated Pest,D,14.02,9.34,28.105295220283168,Moderate,Environment anomaly,0.33262715097551354,0.1538923479281774,0.36453441599999997,0.28538816306620995,0.08650466624692171,0.7977046428396389,0,0,0,0,5.04053944419204,0.905290655761557,700.621564799943,0.389330162316348,455.404017119963
P0059,Strawberry,High Light,D,8.83,16.5,27.942490827488957,Moderate,Environment anomaly,0.2954079649989793,0.1545129933295062,0.3886846725814054,0.27179481501462255,0.0551599187627454,0.8525337166454268,0,0,0,0,5.62978409986553,0.915863178010716,796.166694101801,0.476657537034038,517.50835116617
P0004,Tomato,Integrated Pest,D,22.52,11.99,27.92226767604079,Moderate,Plant stress,0.44847131575367327,0.1481623043291652,0.3560764794373611,0.3398996450630584,0.3105438952277095,0.4131091359070505,0,0,0,0,9.74638465147957,0.913070694678013,-203.599696622431,-0.161505764862522,0
P0072,Strawberry,Reduced Pest,B,22.19,12.17,27.64979916475918,Moderate,Plant stress,0.5266756502294312,0.1433484001064216,0.4129609359506791,0.3889345323367779,0.20703110489477466,0.4430656455301296,0,0,0,0,5.36837829894747,0.869750500321924,605.053192473615,0.522780516167104,393.284575107849
P0106,Strawberry,Shade,A,15.64,9.33,27.64016144039273,Moderate,Plant stress,0.4975831528096627,0.1357099935466524,0.3951745370340697,0.368539481875641,0.1951715764294399,0.49309950820046483,0,0,0,0,4.81601230596465,0.89683244504632,-33.3958221024047,-0.022262504207901702,0
P0080,Strawberry,Control,C,18.49,14.17,27.28797022987916,Moderate,Plant stress,0.5176598210340995,0.1320476100606792,0.3739996284858491,0.3732441192324233,0.2200043585309247,0.4362158546735615,0,0,0,0,4.55946686453308,0.904139114896394,801.807603512467,0.575575037011669,521.174942283103
P0112,Strawberry,Control,C,22.64,23.34,27.186479861926422,Moderate,Plant stress,0.49987591254940417,0.1498370458734857,0.3582895451639787,0.36654697906954353,0.32744937632919413,0.30855505931312716,0,0,0,0,3.98852919297875,0.960474585613546,911.755707677436,0.591833700592126,592.641209990334
P0031,Strawberry,High Light,D,20.48,18.27,26.95318579236805,Moderate,Plant stress,0.4587376543737425,0.134459567,0.4158092737155459,0.3528685520299804,0.3038620191189165,0.35031179966729115,0,0,0,0,5.28293987670345,0.931282637381732,-71.6683877809524,-0.0491054204292595,0
P0088,Strawberry,High Light,A,15.94,14.23,26.733178857082734,Moderate,Plant stress,0.45269170354673305,0.1406213632791972,0.3619345574703715,0.34091917225119994,0.29193911472374334,0.3751264980098575,0,0,0,0,5.33627693812642,0.886898397512777,522.59411544445,0.320068960517589,339.686175038893
P0050,Strawberry,High Light,C,13.75,12.7,26.414017156171386,Moderate,Environment anomaly,0.3594696726088083,0.1444633214848661,0.3940291328828854,0.30187965932644106,0.15092537657668476,0.6037547332664417,0,0,0,0,5.06909131127164,0.895136221187282,760.1016256689,0.58992310059975,494.066056684785
P0027,Strawberry,Shade,C,18.56,21.08,25.729839751594508,Moderate,Environment anomaly,0.45342911049578694,0.1574206283245701,0.4036035754316611,0.3546614588315967,0.038029550013315316,0.618297497107787,0,0,0,0,5.36914133623583,0.842141054956938,-252.668691087833,-0.183195847366005,0
P0097,Strawberry,High Light,A,9.35,19.22,25.59366710471237,Moderate,Plant stress,0.43883196337687025,0.1542040560962633,0.3953851237647444,0.344754223270263,0.3152143673017882,0.2823455053854232,0,0,0,0,5.31784519581986,0.897306775277352,1103.65293051383,1.2,717.374404833991
P0012,Strawberry,Control,A,9.92,13.4,25.195035596217092,Moderate,Plant stress,0.4903017494999403,0.153115583,0.3885227366599448,0.3687900969819591,0.3040976186563336,0.2342470867720093,0,0,0,0,4.08444175608863,0.941485010782994,744.783173758253,0.437756636241149,484.109062942865
P0067,Strawberry,Shade,A,8.76,17.06,24.70649325195813,Low,Plant stress,0.49055823894307105,0.1433322161102677,0.383801161,0.36503901650461584,0.113116450495593,0.45511082059533753,0,0,1,0,4.86339993253448,0.901783693415735,368.519732031902,0.368781644235172,239.537825820736
P0068,Strawberry,High Light,A,8.23,9.86,24.70162692653623,Low,Environment anomaly,0.3229777112826533,0.1356872707880497,0.3809579237973011,0.27838662163720174,0.030243236603610987,0.7101007127071948,0,0,0,0,5.07298298368118,0.968883822191291,582.237055887677,0.470601647953422,378.45408632699
P0074,Tomato,Integrated Pest,A,17.85,23.1,24.47717505270649,Low,Plant stress,0.46173974635065707,0.1223940069786513,0.3680605245036415,0.34120018016965226,0.16166222706452751,0.42468065350777356,0,0,0,0,10.5417144775448,0.85117396267066,422.651284494871,0.269268916402977,274.723334921666
P0073,Pepper,High N,B,16.05,21.7,24.249002695329423,Low,Environment anomaly,0.3844458461737357,0.1477054363890601,0.389327981,0.31440015020358586,0.12262114461039607,0.5089734411472009,0,0,0,0,7.59177869518472,0.849189434310128,194.803120790771,0.129915273609282,119.829980459082
P0036,Cucumber,Integrated Pest,A,13.86,19.91,23.301969652831893,Low,Environment anomaly,0.33245032920063955,0.1368489312043663,0.3601578448937389,0.2793114129403774,0,0.6763035099959342,0,0,0,0,8.1236280418048,0.972419925531964,432.369173442868,0.398186567087081,281.039962737864
P0045,Tomato,Integrated Pest,A,12.71,14.16,23.14165631338369,Low,Environment anomaly,0.349106871,0.150137425,0.3811268077767593,0.29582002455535183,0.049257931161160826,0.5778253587458679,0,0,0,0,9.22574451000777,0.873546597558066,980.818346610671,0.553244110245513,637.531925296936
P0065,Tomato,High Light,B,19.43,18.56,23.14132432297763,Low,Environment anomaly,0.34363945421587233,0.124827482,0.3802935937508405,0.28532669045810427,0.08482530009908147,0.5517128827233472,0,0,0,0,9.03823815058503,0.978368000136357,935.173182633273,0.537590164146764,607.862568711627
P0077,Strawberry,High N,C,23.06,14.18,23.09378523356663,Low,Environment anomaly,0.4006800441800388,0.1576691228377312,0.3634667332578757,0.32033410559291386,0.09993168375068788,0.46918997220237263,0,0,0,0,5.10015084531989,0.948832353047011,1101.24599272924,0.6208000497674,715.809895274009
P0063,Strawberry,High Light,A,21.38,19.14,22.63302136080457,Low,Environment anomaly,0.32250441188993506,0.133141489,0.3819128821378986,0.2775772290725472,0.13333671268308903,0.4792200263094096,0,0,0,0,5.31011030240641,0.877029656790156,639.958841633223,0.475029529382909,415.973247061595
P0006,Strawberry,High N,C,10.58,22.88,22.34332874536428,Low,Environment anomaly,0.3583808274883915,0.1298475877859533,0.367850197,0.2917147294799817,0.08486388869795072,0.5005857998058075,0,0,0,0,5.74626227475435,0.865216932572168,848.508642819411,0.574844328932162,551.530617832617
P0092,Tomato,High N,A,17.64,16.86,22.250696573890345,Low,Plant stress,0.4256282693028358,0.137605907,0.4141285302377734,0.3369216127989726,0.15705167413854593,0.3266074136231328,0,0,0,0,9.81053281933226,0.884385262503438,740.47475037766,0.501932555227706,481.308587745479
P0001,Strawberry,Low N,A,11.78,12.1,22.15437832201118,Low,Plant stress,0.43615431417913353,0.1350257043235248,0.3731890567884572,0.33322267974431563,0.1702804091730198,0.31172871508173194,0,0,0,0,4.15652718979129,0.861321690984907,525.814360125671,0.524856889497287,341.779334081686
P0017,Tomato,Reduced Pest,C,13.52,18.15,21.907121080088228,Low,Plant stress,0.46345992687942233,0.1540379192803501,0.3638487405273117,0.3507110873292785,0.12106985297714373,0.33027433495674424,0,0,0,0,10.1892198477773,0.968425381214844,698.103128234735,0.388706381056141,453.767033352578
P0040,Tomato,Control,B,17.23,15.88,21.848422993529066,Low,Plant stress,0.4065997121135537,0.1466893841028955,0.3781049150615828,0.32292765429996206,0.10011153109426839,0.4021583407836842,0,0,0,0,8.82508714434094,0.857944562050834,382.165040690199,0.36305996051431,248.407276448629
P0029,Pepper,Reduced Pest,D,22.41,18.13,21.683014282107287,Low,Plant stress,0.46844265704759314,0.1288273294617261,0.3535445260499262,0.34357843257229964,0.05816763898040094,0.41017890837833887,0,0,0,0,6.93057250674636,0.932303402644176,287.428456347449,0.233694777938216,186.828496625842
P0051,Tomato,High N,B,12.1,17.78,21.66086517936816,Low,Environment anomaly,0.37051583827890056,0.1435595503459439,0.3911132186194169,0.3065484279671168,0.037570298034142774,0.49962063748327523,0,0,0,0,9.73956464589418,0.95265423925255,623.72927383686,0.540936813605734,405.424027993959
P0054,Tomato,Integrated Pest,C,17.26,15.02,21.36743287666375,Low,Environment anomaly,0.32686505589698567,0.158343168,0.3893033273750841,0.28879614382350965,0.026913516098387533,0.5293364970190613,0,0,0,0,9.66320751717163,0.949478470793053,504.43585225982,0.332764347622699,327.883303968883
P0026,Cucumber,Control,A,11.35,16.66,21.34651823524719,Low,Environment anomaly,0.3152697711770761,0.1449103466072399,0.3684980796412543,0.2748076054989609,0,0.5864126021391779,0,0,0,0,7.41241326413087,0.884142736429755,509.984327151807,0.371329939231413,331.489812648674
P0119,Strawberry,Control,C,14.69,22.92,21.255469408894797,Low,Plant stress,0.438134072,0.1586806914311372,0.3799035233132986,0.34265194809200084,0.15028953791309832,0.27527063889236547,0,0,0,0,5.19568050051582,0.843962534220766,476.437792950388,0.493770344491759,309.684565417752
P0078,Strawberry,Low N,D,11.31,12.38,21.24427183168105,Low,Plant stress,0.4658070957994596,0.1470459779617393,0.3505473873660021,0.347126818761452,0.11902659411517016,0.3059584161075487,0,0,0,0,4.80975850115321,0.872133641231441,810.201829265296,0.52166501735489,526.631189022443
P0117,Tomato,Reduced Pest,D,18.96,10.6,21.16521781976898,Low,Environment anomaly,0.42905406866532303,0.1332352675015361,0.3800571210290455,0.33050903878893145,0.002160479175207102,0.4771694741388101,0,0,0,0,8.76407334243634,0.947444673397702,331.60506839776,0.237209142646761,215.543294458544
P0075,Tomato,Integrated Pest,A,17.37,23.04,21.146461608753082,Low,Environment anomaly,0.33801118626217663,0.1492445324232995,0.3757258961999561,0.2889241320980694,0,0.5517058492660326,0,0,0,0,10.6523456693694,0.859178537423176,773.316091674574,0.488292726170063,502.655459588473
P0105,Strawberry,Shade,A,19.94,17.33,21.108281772290432,Low,Plant stress,0.4990937695965784,0.1480838039927229,0.3757706245252185,0.36912615090114975,0.0872324378631764,0.3004027772085391,0,0,0,0,4.43127729709829,0.887811685849071,561.370545456583,0.504739503540975,364.890854546779
P0003,Strawberry,Shade,C,22.33,15.61,20.844386615892404,Low,Plant stress,0.4838646664666976,0.1582194797730494,0.3937773558015241,0.36815364832556846,0.08811447635284168,0.28780735078382347,0,0,0,0,5.37275515677355,0.904686135086969,544.814056699541,0.399296841304606,354.129136854702
P0002,Strawberry,Shade,A,14.84,8.41,20.68955450586388,Low,Plant stress,0.4756561455212581,0.1281764325038679,0.3575554185454525,0.3477920862208799,0.09681157583945403,0.30482710460733686,0,0,0,0,4.37932800911927,0.860303423217187,341.711164058956,0.287984903646003,222.11225663832101
P0032,Tomato,Integrated Pest,A,22.38,17.7,20.660026387649665,Low,Pest pressure,0.36061230341033046,0.1313787038419968,0.4186758386939206,0.3034549305965484,0.14010595468018655,0.3268227474882904,0,0,0,0,8.89186068270573,0.969847227527293,526.380787451538,0.39767715275153,342.1475118435
P0037,Tomato,Control,A,16.68,16.14,20.51402149593916,Low,Environment anomaly,0.3697931573036028,0.1482051783805656,0.388307386,0.30701960936597106,0,0.4884167584065087,0,0,0,0,9.51592871076764,0.858886791548658,496.200650606996,0.284431810778002,322.530422894547
P0076,Strawberry,Low N,D,17.17,10.06,20.44252723965403,Low,Plant stress,0.4821493503603161,0.1419473846293692,0.364868159,0.3566325223689688,0.0892476229887997,0.28645991910100643,0,0,0,0,4.60068477554143,0.877708849383698,657.284657747565,0.595654923794646,427.235027535917
P0095,Strawberry,High N,A,22.2,13.61,20.284143241021603,Low,Environment anomaly,0.357253302,0.1573834499734177,0.3581610618869996,0.2974738983694252,0.015706497267881384,0.47399471831973433,0,0,0,0,6.18939942393621,0.901514739631225,973.379766126999,0.582626066020718,632.69684798255
P0048,Cucumber,Shade,D,23.84,10.24,20.213808908071286,Low,Plant stress,0.48949291367848874,0.125510566,0.3685690252286767,0.35611343168497966,0.10510080056425315,0.2561159392495335,0,0,0,0,6.66432904645803,0.931373771597142,427.068475363939,0.270012934175306,277.59450898656
P0010,Strawberry,High N,A,14.83,21.09,20.11735553200351,Low,Environment anomaly,0.3926336832933003,0.1394755102374226,0.3822269795394599,0.3146048906257689,1.5130623139357968e-4,0.45512008521583797,0,0,0,0,5.20656653030462,0.870578552320923,1108.20324896283,0.569836501232389,720.332111825839
P0011,Strawberry,Shade,C,10.63,16.55,19.980150515804844,Low,Plant stress,0.458647661,0.1343225990848189,0.3714141966654114,0.3439034495585279,0.028060368229594738,0.3621010287758249,0,0,0,0,4.65830039120227,0.973685868254822,403.13741555759,0.358223738425133,262.039320112434
P0066,Strawberry,Reduced Pest,A,19.81,16.87,19.787662281457287,Low,Environment anomaly,0.3965942450848427,0.1277217928905909,0.3652573290915852,0.3096651262279157,0.005522531068591137,0.44056597933827296,0,0,0,0,5.96906481922215,0.896078096423326,530.50297160753,0.382623310890365,344.826931544895
P0082,Strawberry,Reduced Pest,B,13.57,22.99,19.620247536448908,Low,Plant stress,0.4204639863292994,0.1324769860548715,0.3546565609766819,0.32090640117644753,0,0.4194261747636623,0,0,0,0,5.63796423225251,0.864781526374254,708.267032467912,0.496845027587207,460.373571104143
P0108,Tomato,Reduced Pest,A,13.16,8.69,19.384234738799712,Low,Plant stress,0.4681692037256056,0.1557976009826519,0.3509951094817483,0.351022904053948,0.056635536121221734,0.2841272346940495,0,0,0,0,10.6293123599203,0.976151367794104,219.085998531033,0.184060978956704,142.405899045171
P0069,Tomato,Control,C,12.98,23.67,19.27824331181434,Low,Plant stress,0.5456501260209312,0.1473367667434982,0.3797066585688988,0.3929674247472948,0.059537145998675205,0.2017977397846071,0,0,0,0,9.17830305692391,0.950609292959272,371.668063055007,0.405673603193194,241.584240985754
P0096,Tomato,Integrated Pest,C,19.01,21.39,18.930546941079523,Low,Environment anomaly,0.35041841,0.1209119441802432,0.3748687333885879,0.2864565349317906,0.04313701189131822,0.39130714605919487,0,0,0,0,8.89659263867606,0.968281338580589,379.072069977071,0.254426438268173,246.396845485096
P0083,Tomato,Control,D,20.86,12.51,18.908440153533835,Low,Environment anomaly,0.3530190835512956,0.1465000660459593,0.3661297652912589,0.2936855146476874,0,0.4314723570432389,0,0,0,0,9.98508060824446,0.877524310232716,635.177262369208,0.465658701787115,412.865220539985
P0053,Strawberry,High Light,D,20.73,22.24,18.754532553198683,Low,Pest pressure,0.308835262,0.1345436619907583,0.4000524694029059,0.27479122347780865,0.0747003716493833,0.3634665220120399,0,0,0,0,5.51696327364384,0.936819567224158,1004.74307652636,0.55017433419793,653.082999742132
P0047,Pepper,Low N,B,22.88,9.13,18.69413953580945,Low,Plant stress,0.4132351267751308,0.1268343072961771,0.3998788476214778,0.3246436251007141,0.020804786552655424,0.3405746496734036,0,0,0,0,6.13818320342778,0.86002247879941,502.705151198012,0.429831384412419,326.758348278708
