plot_id,greenhouse_id,farm_id,crop,treatment_block,treatment,plot_area_m2,plant_density_plants_m2,row_orientation,structure_type,heating_system,irrigation_system,capacity_plants,sensor_density_per_100m2,farm_name,region,primary_crop,greenhouse_acres,production_system,climate_zone
P0057,GH018,F06,Strawberry,B,Shade,13.76,10.03,North,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0058,GH008,F05,Strawberry,D,Reduced Pest,12.34,23.44,East,Polyfilm,Natural Gas,EBB-Flow,53,3,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0059,GH013,F08,Strawberry,D,High Light,8.83,16.5,East,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0060,GH004,F01,Tomato,C,Shade,10.21,10.12,South,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0061,GH017,F08,Strawberry,D,Low N,13.17,20.72,East,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0062,GH013,F08,Strawberry,C,Integrated Pest,19.9,12.01,South,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0063,GH019,F08,Strawberry,A,High Light,21.38,19.14,North,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0064,GH011,F05,Strawberry,A,Low N,22.64,15.08,West,Polyfilm,Natural Gas,Drip,163,1,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0065,GH020,F01,Tomato,B,High Light,19.43,18.56,North,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0066,GH019,F08,Strawberry,A,Reduced Pest,19.81,16.87,South,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0067,GH017,F08,Strawberry,A,Shade,8.76,17.06,East,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0068,GH013,F08,Strawberry,A,High Light,8.23,9.86,North,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0069,GH020,F01,Tomato,C,Control,12.98,23.67,North,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0070,GH002,F01,Tomato,D,Low N,20.21,20.91,West,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0071,GH017,F08,Strawberry,A,High Light,14.94,14.38,South,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0072,GH013,F08,Strawberry,B,Reduced Pest,22.19,12.17,South,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0073,GH014,F02,Pepper,B,High N,16.05,21.7,North,Polyfilm,Heat Pump,Fertigation,120,4,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0074,GH005,F01,Tomato,A,Integrated Pest,17.85,23.1,South,Polyfilm,Heat Pump,Fertigation,120,4,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0075,GH002,F01,Tomato,A,Integrated Pest,17.37,23.04,West,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0076,GH019,F08,Strawberry,D,Low N,17.17,10.06,North,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0077,GH019,F08,Strawberry,C,High N,23.06,14.18,North,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0078,GH009,F06,Strawberry,D,Low N,11.31,12.38,West,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0079,GH017,F08,Strawberry,C,High Light,8.29,9.51,East,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0080,GH016,F05,Strawberry,C,Control,18.49,14.17,South,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0081,GH003,F08,Strawberry,B,High Light,21.03,12.51,West,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0082,GH003,F08,Strawberry,B,Reduced Pest,13.57,22.99,West,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0083,GH004,F01,Tomato,D,Control,20.86,12.51,South,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0084,GH011,F05,Strawberry,A,Control,17.1,17.21,East,Polyfilm,Natural Gas,Drip,163,1,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0085,GH007,F04,Cucumber,D,Integrated Pest,13.95,20.42,West,Polyfilm,Natural Gas,Drip,185,2,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0086,GH018,F06,Strawberry,C,High Light,16.99,11.82,East,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0087,GH010,F03,Strawberry,A,Shade,20.07,9.65,North,Polyfilm,Hydronic,EBB-Flow,150,1,BC Harvest 3,Langley,Strawberry,6.3,Mixed,Interior
P0088,GH010,F03,Strawberry,A,High Light,15.94,14.23,North,Polyfilm,Hydronic,EBB-Flow,150,1,BC Harvest 3,Langley,Strawberry,6.3,Mixed,Interior
P0089,GH012,F04,Cucumber,C,High N,14.23,8.17,North,Glass,Hydronic,Fertigation,84,1,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0090,GH013,F08,Strawberry,C,Integrated Pest,13.68,23.31,East,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0091,GH018,F06,Strawberry,D,Integrated Pest,17.18,18.11,North,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0092,GH020,F01,Tomato,A,High N,17.64,16.86,North,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0093,GH012,F04,Cucumber,D,Reduced Pest,20.67,20.63,North,Glass,Hydronic,Fertigation,84,1,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0094,GH009,F06,Strawberry,A,Low N,23.59,23.93,South,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0095,GH006,F07,Strawberry,A,High N,22.2,13.61,South,Polyfilm,Natural Gas,EBB-Flow,173,2,BC Harvest 7,Abbotsford,Strawberry,5.9,Mixed,Interior
P0096,GH004,F01,Tomato,C,Integrated Pest,19.01,21.39,North,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0097,GH018,F06,Strawberry,A,High Light,9.35,19.22,South,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0098,GH013,F08,Strawberry,A,Low N,22.27,10.35,North,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0099,GH016,F05,Strawberry,A,High Light,23.79,13.99,North,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0100,GH001,F02,Pepper,B,Integrated Pest,11.79,22.52,North,Glass,Hydronic,Fertigation,174,1,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0101,GH019,F08,Strawberry,D,Integrated Pest,14.02,9.34,North,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0102,GH002,F01,Tomato,D,High Light,19.28,11.98,East,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0103,GH007,F04,Cucumber,C,High Light,15.88,8.18,West,Polyfilm,Natural Gas,Drip,185,2,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0104,GH015,F02,Pepper,B,Low N,19.86,20.28,East,Glass,Heat Pump,Drip,162,1,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0105,GH006,F07,Strawberry,A,Shade,19.94,17.33,South,Polyfilm,Natural Gas,EBB-Flow,173,2,BC Harvest 7,Abbotsford,Strawberry,5.9,Mixed,Interior
P0106,GH016,F05,Strawberry,A,Shade,15.64,9.33,North,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0107,GH012,F04,Cucumber,B,Reduced Pest,23.41,8.19,West,Glass,Hydronic,Fertigation,84,1,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0108,GH020,F01,Tomato,A,Reduced Pest,13.16,8.69,North,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0109,GH012,F04,Cucumber,C,Integrated Pest,9.18,16.86,West,Glass,Hydronic,Fertigation,84,1,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0110,GH007,F04,Cucumber,A,Low N,10.66,11.47,East,Polyfilm,Natural Gas,Drip,185,2,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0111,GH016,F05,Strawberry,C,Control,18.04,17.35,West,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0112,GH009,F06,Strawberry,C,Control,22.64,23.34,West,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0113,GH013,F08,Strawberry,D,High Light,15.29,17.92,West,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0114,GH005,F01,Tomato,B,Integrated Pest,18.35,14.21,West,Polyfilm,Heat Pump,Fertigation,120,4,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0115,GH013,F08,Strawberry,B,Integrated Pest,9.24,23.59,West,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0116,GH007,F04,Cucumber,C,High Light,8.52,12.48,North,Polyfilm,Natural Gas,Drip,185,2,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0117,GH020,F01,Tomato,D,Reduced Pest,18.96,10.6,South,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0118,GH018,F06,Strawberry,C,Reduced Pest,23.05,14.67,North,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0119,GH013,F08,Strawberry,C,Control,14.69,22.92,South,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0120,GH009,F06,Strawberry,C,Reduced Pest,10.64,14.58,South,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
